결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"16,300","3,556","438","147","92","69","11,443","13.51","1.42","263","16.41","-14.65","23.83","33.62","10.59","67.15","100.00"
19년09월(3Q),"17,000","3,471","474","185","154","72","11,205","15.44","1.52","439","17.21","-25.92","-6.98","39.17","18.27","0.44","100.00"
19년06월(2Q),"17,050","3,319","434","93","76","-63","10,771","15.52","1.58","219","18.36","-11.31","-27.55","21.49","9.42","-38.29","100.00"
19년03월(1Q),"19,500","3,240","415","92","100","118","10,543","15.80","1.85","286","26.98","-24.14","-62.00","22.13","12.68","-40.07","100.00"
18년12월(4Q),"21,300","3,139","514","119","55","296","10,258","14.94","2.08","157","26.39","17.87","-17.24","23.17","7.14","-43.32","100.00"
18년09월(3Q),"19,900","3,097","639","199","154","363","10,131","12.87","1.96","437","23.55","78.38","164.96","31.19","20.29","427.26","100.00"
18년06월(2Q),"24,200","2,987","489","129","125","17","9,696","20.30","2.50","354","22.45","11.82","14.91","26.31","17.10","23.91","100.00"
18년03월(1Q),"31,700","2,865","547","242","168","145","9,347","28.21","3.39","477","21.44","26.82","121.48","44.17","24.27","126.51","100.00"
17년12월(4Q),"39,050","2,695","436","144","97","66","8,863","45.56","4.41","278","20.05","-24.16","-7.65","33.00","14.83","-27.17","100.00"
17년09월(3Q),"24,900","2,604","358","75","28","97","8,604","25.92","2.89","83","21.03","-26.31","-24.13","21.00","4.53","-62.91","100.00"
17년06월(2Q),"21,950","2,573","437","112","100","106","8,509","19.93","2.58","286","21.51","-18.80","-23.61","25.60","16.06","-11.52","100.00"
17년03월(1Q),"21,550","2,465","431","109","74","108","8,205","18.93","2.63","211","22.88","-28.19","-35.98","25.29","12.27","-40.11","100.00"
16년12월(4Q),"14,950","2,397","574","156","134","203","8,007","11.68","1.87","381","25.87","-20.30","8.73","27.10","23.14","169.32","100.00"
16년09월(3Q),"17,100","2,275","486","99","78","83","7,651","16.45","2.24","223","24.97","-37.83","-65.74","20.40","13.99","-70.05","100.00"
16년06월(2Q),"18,700","2,250","539","147","113","65","7,438","11.97","2.51","323","26.95","-24.44","-37.67","27.21","20.88","-47.57","100.00"
16년03월(1Q),"23,300","2,136","600","170","123","124","7,112","12.56","3.28","352","32.92","191.04","114.98","28.37","24.09","67.98","100.00"
15년12월(4Q),"23,650","2,009","721","143","46","256","6,748","13.81","3.50","142","38.24","283.89","244.93","19.87","10.13","4,004.70","100.00"
15년09월(3Q),"31,950","1,966","782","290","265","451","6,616","20.29","4.83","746","30.89","225.34","165.72","37.02","57.81","140.80","100.00"
15년06월(2Q),"32,000","1,693","713","235","217","257","5,886","28.10","5.44","616","24.82","453.72","","32.99","54.98","","100.00"
15년03월(1Q),"28,100","1,472","206","79","74","45","5,264","64.77","5.34","209","12.20","16.05","2,114.00","38.41","20.64","1,645.65","100.00"
14년12월(4Q),"29,050","1,395","188","42","2","52","5,064","122.90","5.74","3","14.95","5.39","","22.11","0.35","","100.00"
14년09월(3Q),"9,970","1,374","240","109","109","19","5,078","49.67","1.96","310","13.31","20.42","188.41","45.32","33.10","291.20","100.00"
14년06월(2Q),"5,890","1,270","129","-12","-32","2","4,782","","1.23","-89","20.06","-20.70","","-9.16","-9.76","","100.00"
14년03월(1Q),"6,530","1,301","178","4","4","30","4,872","1,094.56","1.34","12","19.30","-1.56","-77.97","2.01","1.30","-79.31","100.00"
13년12월(4Q),"7,400","1,297","178","-5","-11","-49","4,859","142.45","1.52","-32","21.46","22.14","","-3.08","-3.49","","100.00"
13년09월(3Q),"8,190","1,311","200","38","28","57","4,908","419.96","1.67","79","27.47","41.41","85.73","18.92","8.63","728.27","100.00"
13년06월(2Q),"8,490","1,280","162","-21","-19","6","4,825","","1.76","-53","25.11","24.42","","-12.82","-5.82","","100.00"
13년03월(1Q),"9,600","1,292","181","16","20","-23","4,864","342.14","1.97","58","29.35","16.48","-58.30","9.00","6.43","-42.33","100.00"
12년12월(4Q),"7,520","1,256","146","19","-22","29","4,844","116.91","1.55","-65","26.57","-17.93","-37.73","12.71","-7.69","","100.00"
12년09월(3Q),"10,750","1,119","141","20","6","71","4,755","46.91","2.26","10","40.82","-3.29","-31.45","14.41","1.14","-85.80","100.00"
12년06월(2Q),"10,350","1,106","131","8","8","-70","4,736","36.07","2.19","27","39.61","-6.12","-67.09","5.76","3.30","-0.55","100.00"
12년03월(1Q),"13,750","1,097","155","39","33","71","4,706","47.90","2.92","101","42.65","19.95","492.64","25.13","12.33","","100.00"
11년12월(4Q),"12,450","1,060","178","30","30","46","4,609","73.51","2.70","92","47.28","31.51","29.20","16.75","12.36","","100.00"
11년09월(3Q),"8,270","901","146","30","22","22","4,463","","1.85","67","54.08","12.31","92.11","20.33","10.00","","100.00"
11년06월(2Q),"7,560","880","139","23","9","69","4,405","","1.72","28","66.91","110.37","-17.87","16.43","4.18","-91.22","100.00"
11년03월(1Q),"8,000","869","129","7","-6","37","4,373","","1.83","-17","61.52","88.80","-80.60","5.09","-2.63","","100.00"
10년12월(4Q),"7,360","864","135","23","-52","-5","4,370","","1.68","-157","44.34","","","17.05","","","100.00"
10년09월(3Q),"8,720","","130","15","-139","14","","","","-439","","","","11.88","","","100.00"
10년06월(2Q),"11,100","","66","28","41","79","","","","315","","","","42.09","","","100.00"
10년03월(1Q),"12,550","","68","34","27","23","","","","207","","","","49.48","","","100.00"
09년12월(4Q),"11,200","226","69","89","33","22","1,744","20.84","6.42","253","175.05","-3.83","556.79","127.74","17.92","","107.49"
09년09월(3Q),"10,900","1,237","48","16","-3","-49","10,619","84.46","1.03","-27","8.77","-30.64","","34.40","-1.13","","70.31"
09년06월(2Q),"14,000","1,234","62","1","-3","-5","10,593","46.98","1.32","-24","8.40","-14.82","","1.11","-1.02","","53.13"
09년03월(1Q),"9,200","1,230","74","19","44","126","10,566","","0.87","336","9.29","3.86","","25.67","14.40","","61.25"
08년12월(4Q),"4,300","1,190","72","13","-20","-17","10,257","","0.42","-156","9.96","3.55","","18.70","-6.80","","57.85"
08년09월(3Q),"6,550","1,185","69","-6","18","-34","10,221","","0.64","142","12.28","-8.96","","-8.76","6.26","","60.44"
08년06월(2Q),"11,000","1,172","72","-40","-120","3","10,115","","1.09","-924","14.49","-2.05","","-55.54","-38.35","","59.03"
08년03월(1Q),"10,100","1,328","71","-38","-21","-63","11,201","","0.90","-162","12.03","13.45","","-52.73","-6.16","","57.67"
07년12월(4Q),"12,500","1,410","70","-37","21","-59","11,443","","1.09","160","12.17","30.24","","-52.46","5.92","","48.30"
07년09월(3Q),"13,150","1,394","76","-36","-33","-31","11,534","","1.14","-252","12.95","49.54","","-47.52","-9.34","","48.95"
07년06월(2Q),"14,250","1,403","74","-18","-24","-39","12,230","","1.17","-186","10.20","16.16","","-24.47","-6.81","","55.94"
07년03월(1Q),"13,200","1,436","63","-49","-59","-54","12,481","","1.06","-457","10.57","21.55","","-78.51","-16.04","","38.56"
06년12월(4Q),"12,400","1,520","53","-58","-109","-74","13,126","","0.94","-838","8.50","-3.01","","-109.11","-28.22","","31.17"
06년09월(3Q),"12,800","1,564","51","-70","-60","-102","13,465","","0.95","-462","8.60","-23.43","","-138.03","-15.04","","44.36"
06년06월(2Q),"17,000","1,621","64","-109","-88","-73","13,909","","1.22","-678","10.20","-15.46","","-171.78","-21.07","","55.47"
06년03월(1Q),"23,250","1,719","52","-64","-59","-89","14,613","","1.59","-452","7.75","-44.70","","-122.87","-13.36","","50.99"
05년12월(4Q),"28,000","1,790","55","-61","-42","31","15,098","","1.85","-320","7.11","-49.65","","-111.13","-9.18","","54.52"
05년09월(3Q),"16,700","1,830","66","-50","-42","-63","15,410","","1.08","-325","6.27","-48.38","","-75.20","-9.02","","56.80"
05년06월(2Q),"19,750","1,910","75","-68","-52","-18","15,705","134.50","1.26","-403","6.25","-45.09","","-89.68","-10.61","","58.11"
05년03월(1Q),"19,800","2,026","94","-2","4","-5","16,097","17.16","1.23","30","5.82","-40.48","","-1.68","0.75","-94.04","71.57"
04년12월(4Q),"23,250","2,052","109","10","16","76","16,300","14.35","1.43","122","5.46","-25.91","-87.47","8.70","3.10","-84.14","74.55"
04년09월(3Q),"23,900","2,045","128","45","52","50","16,247","10.70","1.47","398","7.38","-12.75","-46.20","35.40","10.21","-52.20","80.50"
04년06월(2Q),"27,950","1,994","137","59","78","55","15,851","10.54","1.76","604","6.80","-5.74","-26.03","43.15","15.79","-40.10","80.66"
04년03월(1Q),"108,800","1,978","157","90","64","34","15,248","12.21","2.41","496","7.46","21.18","2.78","57.40","13.22","-51.54","87.28"
03년12월(4Q),"129,000","1,916","148","76","83","118","14,769","12.18","2.95","771","7.96","","","51.45","24.97","","85.56"
03년09월(3Q),"137,900","733","147","84","86","89","7,059","15.80","6.59","832","16.64","","","57.42","50.06","","86.39"
03년06월(2Q),"111,500","648","146","80","89","89","6,237","","6.03","1,009","15.66","","","54.98","77.86","","90.41"
