결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"127,500","102,067","48,332","-100","684","-636","319,802","15.20","0.40","2,897","106.67","14.37","","-0.21","3.67","63.23","25.45"
19년09월(3Q),"113,000","102,222","50,633","1,162","1,124","5,958","318,837","15.55","0.35","3,955","105.87","7.11","-40.27","2.30","4.98","-42.45","26.47"
19년06월(2Q),"140,000","102,993","45,810","-299","-266","-1,434","318,763","13.75","0.44","-900","102.38","14.83","","-0.65","-1.15","","25.60"
19년03월(1Q),"172,000","99,463","45,854","743","697","4,270","305,547","11.99","0.56","2,438","109.16","11.66","-51.61","1.62","3.26","-42.55","25.08"
18년12월(4Q),"182,500","88,575","42,260","614","624","-2,378","293,262","11.30","0.62","1,775","89.15","7.19","-58.88","1.45","2.40","-41.08","26.32"
18년09월(3Q),"207,500","89,902","47,272","1,946","1,944","5,996","298,921","11.93","0.69","6,872","87.34","13.86","-4.14","4.12","9.29","-49.36","26.64"
18년06월(2Q),"254,500","87,208","39,894","533","948","-281","292,854","10.57","0.87","3,259","82.07","8.50","-17.96","1.34","4.43","275.53","27.50"
18년03월(1Q),"273,500","87,815","41,065","1,535","1,246","4,362","295,243","12.61","0.93","4,244","81.71","9.69","-8.39","3.74","5.75","-8.75","27.46"
17년12월(4Q),"271,000","87,714","39,426","1,493","896","455","295,750","12.26","0.92","3,013","83.17","12.72","-1.14","3.79","4.12","-15.06","28.52"
17년09월(3Q),"208,500","86,034","41,517","2,030","3,812","2,822","289,910","9.21","0.72","13,570","86.92","2.92","-5.42","4.89","19.10","155.88","28.11"
17년06월(2Q),"234,500","82,882","36,770","650","256","2,013","278,685","16.32","0.84","868","90.46","6.47","38.32","1.77","1.25","160.92","28.08"
17년03월(1Q),"205,500","82,108","37,436","1,676","1,315","3,692","275,850","14.86","0.74","4,651","90.07","3.13","7.45","4.48","6.74","7.80","28.08"
16년12월(4Q),"183,000","81,242","34,977","1,510","997","-1,195","276,181","13.56","0.66","3,547","89.93","5.19","80.29","4.32","5.19","","28.53"
16년09월(3Q),"157,500","78,114","40,340","2,146","1,497","5,973","270,735","18.89","0.58","5,303","92.60","9.51","10.94","5.32","7.94","39.41","27.99"
16년06월(2Q),"173,000","76,167","34,535","470","122","765","264,012","25.29","0.66","333","91.17","6.85","-28.50","1.36","0.51","-96.60","28.38"
16년03월(1Q),"175,500","73,835","36,300","1,560","1,200","1,814","255,725","10.77","0.69","4,314","98.20","6.80","-3.03","4.30","6.82","-0.25","27.60"
15년12월(4Q),"189,000","72,394","33,252","838","-464","1,133","250,707","11.59","0.75","-1,611","100.21","2.67","-29.18","2.52","-2.57","","28.08"
15년09월(3Q),"230,500","71,918","36,837","1,934","1,062","3,157","250,646","12.95","0.92","3,804","104.42","4.00","2.30","5.25","6.09","-12.04","27.62"
15년06월(2Q),"231,000","71,503","32,321","657","2,745","-591","249,595","12.61","0.93","9,794","98.05","3.95","-41.36","2.03","15.92","314.45","28.14"
15년03월(1Q),"233,000","69,509","33,990","1,609","1,216","3,641","242,637","21.41","0.96","4,325","103.04","4.14","-1.63","4.73","7.06","12.46","27.52"
14년12월(4Q),"203,000","70,597","32,387","1,183","-41","483","247,900","19.51","0.82","-129","95.86","2.93","-31.14","3.65","-0.21","","28.02"
14년09월(3Q),"230,500","69,719","35,419","1,891","1,219","4,718","245,357","16.50","0.94","4,324","95.16","0.27","-17.37","5.34","7.14","-18.11","27.81"
14년06월(2Q),"232,000","68,053","31,092","1,121","672","-1,234","239,572","15.55","0.97","2,363","97.45","-0.45","-28.87","3.60","3.97","-41.65","28.40"
14년03월(1Q),"244,000","67,215","32,638","1,635","1,070","3,043","236,611","14.69","1.03","3,846","96.12","0.95","-7.58","5.01","6.52","-3.80","27.51"
13년12월(4Q),"266,500","66,979","31,465","1,718","981","30","235,709","15.90","1.13","3,433","94.86","1.85","27.30","5.46","5.87","706.87","28.27"
13년09월(3Q),"242,000","65,828","35,324","2,288","1,499","3,647","232,184","17.59","1.04","5,281","95.18","4.25","2.63","6.48","9.18","-2.92","27.30"
13년06월(2Q),"201,000","64,735","31,233","1,576","1,163","208","228,359","14.45","0.88","4,050","98.13","5.29","-15.56","5.05","7.19","-20.79","27.97"
13년03월(1Q),"220,000","63,013","32,330","1,769","1,120","4,142","222,306","14.69","0.99","3,998","98.94","-0.23","-7.13","5.47","7.30","-5.59","27.26"
12년12월(4Q),"238,000","61,292","30,894","1,350","145","313","216,175","15.64","1.10","425","99.93","6.92","-28.31","4.37","0.79","-84.23","27.69"
12년09월(3Q),"242,500","61,505","33,885","2,229","1,543","4,836","217,294","13.87","1.12","5,440","98.83","6.49","-0.90","6.58","10.17","28.23","27.50"
12년06월(2Q),"250,000","59,632","29,665","1,866","1,458","1,353","210,670","15.35","1.19","5,113","97.03","54.27","32.23","6.29","9.78","26.84","28.05"
12년03월(1Q),"250,000","58,841","32,407","1,905","1,205","446","207,837","16.44","1.20","4,235","96.95","","","5.88","8.37","","26.72"
11년12월(4Q),"279,000","55,754","28,896","1,882","779","273","196,899","","1.42","2,698","99.28","","","6.51","5.46","","28.47"
11년09월(3Q),"298,000","56,257","31,821","2,250","1,216","3,866","198,838","","1.50","4,242","92.25","","","7.07","8.58","","27.06"
11년06월(2Q),"244,500","55,678","19,229","1,411","1,156","1,814","196,888","","1.24","4,031","93.01","","","7.34","","","27.18"
