결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"24,450","3,474","3,688","-174","-301","206","13,272","","1.84","-1,144","330.89","5.34","","-4.71","-33.26","","7.31"
19년06월(2Q),"33,150","3,775","3,130","-274","-295","64","14,415","29.37","2.30","-1,118","294.23","10.48","","-8.77","-30.06","","3.91"
19년03월(1Q),"39,550","4,070","3,929","570","421","1,050","15,532","13.71","2.55","1,598","260.71","27.31","22.70","14.50","42.69","14.03","25.18"
18년12월(4Q),"33,550","3,824","3,175","54","-140","273","14,582","12.48","2.30","-531","169.76","21.36","-69.27","1.70","-14.23","","13.34"
18년09월(3Q),"37,500","4,037","3,501","378","311","307","15,389","10.08","2.44","1,180","145.85","31.33","-6.50","10.79","32.04","-3.74","21.49"
18년06월(2Q),"42,050","3,726","2,833","116","168","134","14,209","11.17","2.96","639","144.12","24.24","-28.16","4.10","18.49","10.14","15.54"
18년03월(1Q),"47,100","3,557","3,086","464","369","501","13,570","12.70","3.47","1,401","149.74","28.47","70.56","15.05","43.01","116.31","26.65"
17년12월(4Q),"35,350","3,314","2,616","175","132","234","12,761","11.97","2.77","500","141.51","37.18","337.89","6.70","16.17","66.66","19.63"
17년09월(3Q),"36,000","3,209","2,666","404","323","275","12,287","13.06","2.93","1,225","141.44","20.26","5.79","15.15","42.27","11.62","26.74"
17년06월(2Q),"38,850","2,903","2,280","162","153","371","11,061","14.82","3.51","580","138.84","40.67","2,443.82","7.10","21.58","226.81","19.44"
17년03월(1Q),"29,800","2,758","2,402","272","170","566","10,490","13.41","2.84","648","140.62","38.71","74.48","11.33","24.88","39.56","22.71"
16년12월(4Q),"25,100","2,719","1,907","40","79","144","10,342","12.31","2.43","300","120.76","","","2.10","","","15.07"
16년09월(3Q),"32,400","2,671","2,217","382","285","462","10,285","17.50","3.15","1,098","111.57","33.01","127.43","17.22","45.11","95.90","27.58"
16년06월(2Q),"31,600","2,382","1,621","6","46","202","9,193","24.82","3.44","177","117.28","13.84","-92.99","0.39","7.79","-64.58","11.96"
16년03월(1Q),"35,550","2,336","1,732","156","120","294","9,016","22.25","3.94","464","112.88","19.94","-27.77","9.01","20.67","-50.81","20.99"
15년12월(4Q),"40,100","2,318","1,546","39","23","115","8,948","19.52","4.48","93","106.08","16.58","-59.71","2.55","5.06","-78.23","16.02"
15년09월(3Q),"49,450","1,292","1,667","168","126","124","5,768","20.72","8.74","560","170.58","16.92","7.59","10.07","40.87","-30.99","20.36"
15년06월(2Q),"39,150","1,166","1,424","91","112","85","5,203","14.87","7.67","501","194.37","22.54","","6.37","40.47","","16.88"
15년03월(1Q),"39,750","1,053","1,444","216","211","398","4,698","19.29","8.63","944","197.53","21.06","292.93","14.96","91.03","210.17","27.19"
14년12월(4Q),"30,250","801","1,327","98","94","295","3,639","21.21","8.47","426","229.23","27.53","","7.38","49.09","","19.36"
14년09월(3Q),"17,250","726","1,425","156","179","182","3,299","21.71","5.33","812","227.36","14.86","16.73","10.95","112.37","24.38","21.23"
