결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"135,500","58,839","7,832","591","515","2,565","63,870","93.64","2.12","665","49.31","30.68","92.68","7.54","4.22","213.72","100.00"
19년06월(2Q),"131,500","56,660","7,330","405","310","1,487","62,473","131.82","2.10","465","44.34","24.47","46.64","5.52","2.99","93.05","100.00"
19년03월(1Q),"103,500","56,380","7,063","277","176","1,381","61,800","135.16","1.67","330","43.23","27.17","165.95","3.92","2.14","76.55","100.00"
18년12월(4Q),"103,000","56,272","6,733","43","-286","2,329","61,614","167.97","1.67","-12","41.45","23.62","-87.75","0.64","-0.08","","100.00"
18년09월(3Q),"119,000","55,846","5,993","307","74","1,133","61,158","146.22","1.95","212","38.07","16.27","-35.26","5.12","1.29","-55.14","100.00"
18년06월(2Q),"114,500","57,830","5,889","276","225","37","68,066","108.04","1.68","241","33.74","25.72","-38.19","4.68","1.42","44.35","100.00"
18년03월(1Q),"132,000","57,522","5,554","104","146","1,415","67,959","133.31","1.94","187","34.30","25.16","-72.87","1.87","1.20","-76.46","100.00"
17년12월(4Q),"137,000","44,629","5,447","350","182","1,159","59,344","85.55","2.31","170","42.27","20.02","-8.20","6.43","1.15","-51.08","100.00"
17년09월(3Q),"144,000","44,452","5,154","474","399","905","58,648","80.91","2.46","473","46.09","31.69","56.55","9.19","3.38","161.29","100.00"
17년06월(2Q),"101,500","39,922","4,684","446","125","713","53,387","68.45","1.91","167","45.54","24.41","67.69","9.53","1.28","27.37","100.00"
17년03월(1Q),"83,100","37,470","4,438","383","545","942","51,271","57.38","1.63","794","46.64","83.02","81.76","8.64","6.22","270.01","100.00"
16년12월(4Q),"77,000","37,029","4,538","382","276","1,332","50,777","88.46","1.52","347","48.10","87.77","85.12","8.41","2.78","89.25","100.00"
16년09월(3Q),"81,800","35,205","3,914","303","136","571","49,239","116.39","1.67","181","48.30","70.48","86.95","7.73","1.47","-16.57","100.00"
16년06월(2Q),"93,100","35,114","3,765","266","132","384","49,149","126.34","1.90","131","48.51","66.25","132.81","7.07","1.06","-62.01","100.00"
16년03월(1Q),"99,200","34,167","2,425","211","109","886","49,243","103.93","2.02","215","51.89","3.45","-47.74","8.70","1.79","-59.44","100.00"
15년12월(4Q),"115,800","25,855","2,417","206","118","323","42,485","91.59","2.74","183","23.32","-4.86","-68.48","8.53","1.73","-79.83","100.00"
15년09월(3Q),"125,900","25,575","2,296","162","148","259","42,202","63.83","3.00","217","14.43","160.10","-46.29","7.05","2.06","-87.76","100.00"
15년06월(2Q),"126,200","25,373","2,265","114","214","389","42,005","46.84","3.02","345","13.81","162.59","-74.85","5.05","3.29","-88.96","100.00"
15년03월(1Q),"115,400","25,173","2,344","404","308","651","42,423","27.68","2.73","529","13.34","233.43","13.92","17.22","5.03","-77.46","100.00"
14년12월(4Q),"123,600","24,632","2,540","654","517","915","42,651","20.29","2.91","909","12.37","","","25.75","14.00","1,038.27","100.00"
14년09월(3Q),"157,700","5,212","883","301","240","606","39,777","21.63","3.98","1,772","22.98","-31.97","48.46","34.13","18.25","2.80","100.00"
14년06월(2Q),"117,000","5,515","862","455","423","355","41,934","16.15","2.80","3,122","20.22","-34.93","90.56","52.71","31.54","140.20","100.00"
14년03월(1Q),"78,200","5,472","703","354","318","328","41,398","14.41","1.90","2,347","22.39","-43.70","56.85","50.39","35.86","64.16","100.00"
13년12월(4Q),"84,000","1,773","-1,764","-9","9","-335","13,072","18.61","6.45","80","22.53","","","0.50","1.21","-92.02","100.00"
13년09월(3Q),"92,700","5,520","1,297","203","236","301","41,704","17.06","2.23","1,723","18.78","18.52","-8.77","15.64","17.35","20.66","100.00"
13년06월(2Q),"78,900","5,450","1,325","239","176","256","40,017","15.35","1.98","1,300","18.30","13.71","-21.34","18.00","13.23","-21.39","100.00"
13년03월(1Q),"91,700","5,298","1,249","226","193","484","38,745","16.70","2.38","1,430","22.76","13.32","-17.11","18.08","14.86","-9.18","100.00"
12년12월(4Q),"91,100","5,199","1,172","219","139","289","38,158","16.17","2.40","1,001","17.68","-0.27","-21.16","18.72","10.59","22.19","100.00"
12년09월(3Q),"113,500","5,097","1,095","222","192","234","37,425","20.81","3.04","1,428","18.35","6.16","-22.50","20.32","15.57","-41.54","100.00"
12년06월(2Q),"102,300","4,902","1,166","303","224","304","36,852","15.83","2.79","1,653","19.09","12.71","8.20","26.02","18.75","-42.97","100.00"
12년03월(1Q),"119,100","4,710","1,102","272","212","406","35,431","15.46","3.37","1,574","26.01","13.31","-15.38","24.72","18.39","-17.89","100.00"
