결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"93,300","9,146","1,162","313","307","378","75,679","9.22","1.23","2,544","7.32","-3.06","-17.69","26.95","14.63","10.01","87.28"
19년06월(2Q),"101,500","8,838","1,242","323","397","26","73,220","10.27","1.39","3,014","7.60","0.05","-11.35","26.01","17.95","10.27","85.33"
19년03월(1Q),"104,400","8,533","1,077","302","305","486","70,265","10.87","1.49","2,366","11.10","-5.54","-23.47","28.01","14.38","-16.56","86.20"
18년12월(4Q),"129,000","8,445","1,238","328","282","340","69,181","12.80","1.86","2,194","7.67","-6.63","-28.84","26.46","13.37","-0.32","85.78"
18년09월(3Q),"146,600","8,457","1,198","380","298","346","67,188","14.54","2.18","2,312","7.75","-4.69","-23.27","31.74","14.32","-25.34","88.80"
18년06월(2Q),"168,000","8,175","1,241","364","352","131","65,026","15.46","2.58","2,733","8.43","-4.09","-25.61","29.35","17.61","-6.26","87.63"
18년03월(1Q),"186,700","7,812","1,140","394","365","469","62,191","16.90","3.00","2,835","10.52","-5.19","-21.28","34.57","18.94","-0.57","89.06"
17년12월(4Q),"136,100","7,609","1,326","460","283","308","60,724","12.30","2.24","2,201","10.17","-0.44","8.51","34.72","15.18","-22.25","90.07"
17년09월(3Q),"125,000","7,318","1,257","496","398","426","58,467","10.69","2.14","3,097","9.80","6.43","20.49","39.42","22.38","28.78","88.61"
17년06월(2Q),"117,800","6,924","1,294","490","375","288","55,427","10.71","2.13","2,916","9.71","2.21","0.69","37.85","22.30","-1.17","90.69"
17년03월(1Q),"121,100","6,536","1,203","501","367","323","52,585","10.97","2.30","2,852","9.83","-11.01","-16.23","41.64","22.78","-20.98","90.19"
16년12월(4Q),"87,200","6,350","1,332","424","364","321","51,150","7.39","1.70","2,831","12.13","14.16","-11.04","31.85","23.15","2.34","88.79"
16년09월(3Q),"100,000","6,240","1,181","411","309","371","48,752","8.52","2.05","2,405","12.05","2.86","-2.75","34.82","20.34","-8.23","89.55"
16년06월(2Q),"131,500","5,932","1,266","486","380","414","46,361","10.99","2.84","2,950","12.88","16.91","20.60","38.42","26.48","6.44","89.80"
16년03월(1Q),"123,900","5,534","1,351","598","464","454","43,281","10.49","2.86","3,609","13.73","44.17","67.88","44.24","34.97","48.47","91.60"
15년12월(4Q),"118,500","5,090","1,167","477","356","460","39,844","11.18","2.97","2,766","14.37","39.31","32.43","40.88","28.99","33.95","91.00"
15년09월(3Q),"116,300","4,732","1,149","423","318","356","37,063","11.75","3.14","2,620","12.35","32.28","-7.95","36.83","34.54","-28.11","86.80"
15년06월(2Q),"123,800","2,634","1,083","403","311","296","23,663","10.32","4.76","2,772","20.08","151.55","133.23","37.24","50.07","121.72","91.06"
15년03월(1Q),"192,500","2,339","937","356","273","268","21,084","18.23","8.12","2,431","22.17","344.72","1,720.12","37.99","49.13","2,370.12","90.39"
14년12월(4Q),"135,500","2,106","837","360","232","388","19,031","17.07","6.33","2,065","18.57","318.68","7,458.71","43.00","46.33","264.88","89.01"
14년09월(3Q),"173,500","1,899","868","460","409","357","17,190","27.76","8.98","3,645","13.46","437.67","45,979.57","52.93","104.34","2,945.81","92.51"
14년06월(2Q),"65,100","1,239","430","173","140","61","11,339","28.46","5.11","1,250","9.95","111.58","754.31","40.17","48.15","329.24","83.77"
14년03월(1Q),"28,000","1,093","211","20","11","24","10,088","23.16","2.47","98","8.05","-15.20","-61.88","9.28","4.07","-87.11","65.39"
13년12월(4Q),"25,200","1,079","200","5","63","31","9,982","12.88","2.25","566","9.61","-5.76","-86.94","2.38","24.32","110.42","63.95"
13년09월(3Q),"29,350","1,014","161","1","13","9","9,408","18.08","2.77","120","6.92","-28.06","-98.20","0.62","5.35","-82.09","63.66"
13년06월(2Q),"33,350","998","203","20","33","27","9,260","14.89","3.20","291","7.60","-7.55","-69.07","9.95","13.37","-45.88","72.67"
13년03월(1Q),"51,600","961","249","51","86","40","8,931","20.50","5.14","764","10.69","121.06","1,448.61","20.65","36.63","120.05","77.76"
12년12월(4Q),"48,500","911","212","36","30","41","8,461","23.67","5.10","269","10.18","88.72","207.49","17.18","13.40","144.80","73.63"
12년09월(3Q),"65,800","892","224","55","75","78","8,207","35.19","7.13","668","9.48","145.96","928.03","24.68","34.63","482.79","75.36"
12년06월(2Q),"41,000","840","220","65","60","-3","7,760","32.86","4.70","538","12.51","157.90","590.59","29.74","31.11","489.61","75.31"
12년03월(1Q),"19,150","713","112","3","39","145","6,656","25.70","2.56","347","26.38","53.64","-27.90","2.95","22.05","548.89","57.18"
11년12월(4Q),"22,000","700","112","12","12","1","6,549","52.99","2.99","110","7.50","28.76","47.99","10.55","7.28","-0.24","62.25"
11년09월(3Q),"27,650","656","91","5","13","12","6,168","66.55","3.99","115","5.99","22.74","2.58","5.90","7.94","44.79","58.15"
11년06월(2Q),"11,750","641","85","9","10","5","6,043","31.28","1.73","91","5.13","16.75","918.95","11.10","6.46","114.90","57.65"
11년03월(1Q),"12,000","629","73","5","6","7","5,951","37.41","1.79","53","5.65","-1.61","-49.55","6.28","3.85","-61.01","58.02"
10년12월(4Q),"13,300","620","87","8","12","20","5,891","32.06","2.01","110","6.91","","","9.18","","","52.88"
10년09월(3Q),"12,350","","74","5","9","4","","","","79","","","","7.06","","","60.37"
10년06월(2Q),"14,800","","73","1","5","-1","","","","42","","","","1.27","","","56.92"
10년03월(1Q),"14,150","","74","9","15","","","","","137","","","","12.25","","","65.88"
09년12월(4Q),"13,600","572","79","16","18","38","5,514","23.07","2.19","157","4.51","26.04","165.89","20.74","12.52","155.84","68.09"
09년09월(3Q),"12,350","552","88","21","22","31","5,363","25.61","2.05","195","4.27","40.12","50.53","24.38","16.25","83.43","63.94"
09년06월(2Q),"9,400","528","79","8","12","3","5,157","24.60","1.62","105","4.75","-1.98","-75.17","10.74","9.12","-58.97","60.61"
09년03월(1Q),"9,700","511","72","7","7","12","5,049","17.55","1.71","67","5.70","-22.11","-82.67","9.14","5.93","-75.52","57.58"
08년12월(4Q),"5,750","499","63","6","7","20","4,957","7.34","1.03","61","5.66","-24.81","-79.69","9.83","5.56","-71.89","59.29"
08년09월(3Q),"7,750","490","63","14","12","21","4,882","8.07","1.41","107","5.77","33.98","22.87","22.69","9.82","-13.73","66.04"
08년06월(2Q),"7,900","485","80","34","29","36","4,781","8.06","1.47","257","6.01","81.69","195.83","42.39","24.62","136.49","75.66"
08년03월(1Q),"7,490","453","92","38","31","52","4,511","9.02","1.48","272","7.01","71.71","105.19","41.07","27.23","39.23","76.03"
07년12월(4Q),"7,700","445","83","30","24","5","4,232","10.54","1.62","218","6.53","","","36.39","21.88","","73.51"
07년09월(3Q),"11,100","450","47","12","14","11","4,008","22.88","2.46","124","6.18","","","24.75","15.83","","67.98"
