결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"527","1,084","-25","-43","-3","-96","787","","0.67","-2","16.82","","","-207.53","-1.19","","-124.08"
19년06월(2Q),"697","1,077","81","63","51","-43","782","","0.89","36","21.70","","","67.70","19.23","","87.61"
19년03월(1Q),"641","1,029","-23","-41","-23","-130","747","","0.86","-16","23.19","","","-139.67","-8.71","","-77.15"
18년12월(4Q),"621","1,052","-132","-155","-141","-108","764","","0.81","-101","23.74","","","-5,720.32","-50.35","","-4,871.15"
18년09월(3Q),"853","1,188","-5","-23","-13","-15","861","12.38","0.99","-10","18.43","","","3,687.16","-4.57","","746.07"
18년06월(2Q),"886","1,155","-11","-44","-34","411","871","11.13","1.02","-26","23.82","","","1,993.95","-11.77","","498.85"
18년03월(1Q),"1,030","1,184","76","59","50","-524","896","9.30","1.15","37","23.44","139.30","262.02","57.97","17.09","239.74","75.57"
17년12월(4Q),"934","1,139","150","130","95","-64","862","10.93","1.08","71","24.83","190.37","255.55","79.22","34.70","140.28","91.26"
17년09월(3Q),"942","1,042","11","-4","-4","39","790","32.98","1.19","-3","25.87","0.92","","-22.68","-1.97","","63.67"
17년06월(2Q),"1,200","626","25","6","-5","-98","682","36.49","1.76","-5","32.92","50.16","128.42","12.53","-2.93","","52.71"
17년03월(1Q),"1,070","629","32","16","10","120","685","26.46","1.56","11","30.75","82.91","526.93","31.14","6.62","","61.42"
16년12월(4Q),"1,650","614","52","37","28","21","669","56.26","2.47","29","24.25","1,356.75","","49.28","18.46","","69.51"
16년09월(3Q),"1,650","586","11","-2","-2","-52","640","","2.58","-3","28.50","265.77","","-11.07","-1.57","","50.46"
16년06월(2Q),"1,415","621","17","3","2","33","677","","2.09","3","21.21","196.20","","10.94","1.53","","70.00"
16년03월(1Q),"556","577","17","3","","3","654","","0.85","","28.38","25.73","","10.83","-0.27","","73.20"
15년12월(4Q),"629","576","4","-11","-9","-77","653","","0.96","-11","29.06","-59.54","","-68.59","-6.63","","22.03"
15년09월(3Q),"541","521","3","-12","-9","6","674","","0.80","-12","35.37","-77.77","","-78.81","-7.09","","19.47"
15년06월(2Q),"439","531","6","-8","-7","-2","687","","0.64","-9","34.81","-66.38","","-37.94","-5.11","","26.34"
15년03월(1Q),"410","538","14","-1","-3","-13","696","","0.59","-4","32.67","-44.47","","-6.47","-2.53","","66.86"
14년12월(4Q),"314","538","9","-7","-20","-35","696","","0.45","-25","33.37","-144.78","","-26.00","-14.82","","30.52"
14년09월(3Q),"398","552","13","","","-31","713","","0.56","-1","21.88","-17.27","-94.10","0.81","-0.31","","52.02"
14년06월(2Q),"437","552","17","","","-62","713","","0.61","","20.98","-61.17","-99.92","0.13","0.02","-99.89","90.36"
14년03월(1Q),"470","552","25","13","8","-94","713","39.84","0.66","10","16.21","30.88","115.08","34.37","5.88","67.84","65.76"
13년12월(4Q),"470","545","-20","-30","-23","-14","704","60.92","0.67","-29","14.97","-14.12","","-171.66","-16.89","","-111.98"
13년09월(3Q),"548","564","16","3","3","-15","729","224.07","0.75","3","12.60","-35.80","-74.93","15.99","1.89","-55.86","73.63"
13년06월(2Q),"601","560","43","28","22","133","723","90.27","0.83","28","6.88","26.88","28.07","60.31","16.11","28.71","91.78"
13년03월(1Q),"684","538","19","6","5","128","696","1,420.23","0.98","6","12.74","-60.61","-82.17","26.10","3.55","-82.01","82.05"
12년12월(4Q),"638","544","-23","-36","-28","-60","704","22.85","0.91","-35","25.85","-176.77","","-128.84","-19.69","","-82.04"
12년09월(3Q),"723","578","25","14","6","39","745","10.91","0.97","8","15.85","232.86","","42.07","4.21","","75.68"
12년06월(2Q),"638","567","34","22","17","-21","710","11.54","0.90","22","20.55","2,449.55","1,559.62","41.18","12.33","1,593.57","63.26"
12년03월(1Q),"473","548","48","34","27","-70","686","13.50","0.69","33","24.12","218.02","832.51","65.97","19.74","911.51","93.89"
11년12월(4Q),"480","535","30","4","3","31","687","98.00","0.70","4","15.49","-67.49","-92.61","17.10","2.21","-96.16","133.94"
11년09월(3Q),"510","551","7","-3","-3","-151","698","5.14","0.73","-3","14.22","-26.88","","-12.04","-1.98","","26.50"
11년06월(2Q),"860","560","1","1","1","-9","702","8.34","1.23","1","11.75","-96.83","-95.90","6.77","0.73","-97.55","6.77"
11년03월(1Q),"843","559","15","4","3","-23","700","5.48","1.20","3","8.36","8.74","-25.42","18.39","1.85","-42.20","76.73"
10년12월(4Q),"865","584","91","51","78","63","732","5.54","1.18","98","7.43","","","48.66","","","86.69"
10년09월(3Q),"790","","10","1","","21","","","","","","","","4.93","","","58.08"
