결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"4,570","29,803","6,822","634","548","1,243","5,548","15.57","0.82","102","51.91","-11.58","10.34","9.30","7.60","25.37","11.86"
19년06월(2Q),"4,640","28,178","6,323","505","369","758","5,245","17.01","0.88","70","54.83","-6.86","0.85","7.99","5.39","-2.95","10.75"
19년03월(1Q),"4,110","27,357","5,348","450","281","943","5,091","14.95","0.81","58","55.08","-5.43","2.19","8.41","4.61","-15.09","11.79"
18년12월(4Q),"4,445","26,604","6,525","524","320","621","4,946","15.59","0.90","63","54.84","9.30","-1.38","8.03","5.18","-29.68","11.49"
18년09월(3Q),"5,240","26,139","7,715","575","429","1,180","4,853","16.80","1.08","82","58.62","32.14","10.16","7.45","6.76","2.93","9.58"
18년06월(2Q),"4,885","25,943","6,788","501","373","465","4,815","15.78","1.01","72","58.25","7.32","2.52","7.38","6.16","90.57","10.11"
18년03월(1Q),"5,200","24,317","5,655","440","364","414","4,512","18.88","1.15","68","61.60","8.15","7.60","7.78","6.07","12.89","10.72"
17년12월(4Q),"5,270","24,098","5,970","531","475","996","4,469","19.69","1.18","90","61.61","16.46","5.94","8.90","7.89","","12.50"
17년09월(3Q),"5,390","25,221","5,838","522","419","755","4,676","43.63","1.15","79","66.24","25.33","41.79","8.94","6.87","54.15","11.80"
17년06월(2Q),"5,280","24,645","6,325","488","200","393","4,568","55.27","1.16","38","69.36","42.78","18.60","7.72","3.35","-15.71","10.28"
17년03월(1Q),"5,500","23,954","5,229","409","319","472","4,439","53.68","1.24","60","70.60","15.55","2.78","7.82","5.25","-57.57","10.63"
16년12월(4Q),"3,985","25,659","5,126","501","-297","191","4,754","21.66","0.84","-54","68.78","0.11","-9.96","9.78","-4.74","","12.20"
16년09월(3Q),"3,855","23,480","4,658","368","275","662","4,366","11.49","0.88","52","66.11","-5.27","-39.70","7.90","4.60","-48.15","10.80"
16년06월(2Q),"3,495","24,711","4,430","412","238","653","4,601","9.12","0.76","45","69.94","6.55","-19.59","9.30","3.93","","12.65"
