결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"5,050","3,631","2,377","85","79","214","2,389","32.09","2.11","50","73.57","7.13","-31.38","3.56","8.51","1.62","14.80"
19년06월(2Q),"5,720","3,537","2,302","149","159","422","2,329","36.53","2.46","104","76.97","4.41","-9.05","6.46","18.30","","13.68"
19년03월(1Q),"5,880","3,377","2,214","107","69","162","2,225","","2.64","45","72.99","0.89","18.07","4.82","8.13","-10.86","12.75"
18년12월(4Q),"5,210","3,392","2,652","44","-63","401","2,234","","2.33","-42","79.91","-2.04","-68.82","1.67","-7.32","","9.96"
18년09월(3Q),"7,540","3,531","2,219","123","75","-460","2,319","","3.25","49","58.26","-5.24","-15.81","5.55","8.58","-28.56","13.27"
18년06월(2Q),"6,810","3,456","2,205","164","-430","110","2,277","","2.99","-283","83.57","2.31","52.56","7.42","-47.28","","14.66"
18년03월(1Q),"7,800","3,840","2,195","90","76","244","2,530","37.37","3.08","51","63.20","-4.64","-45.37","4.12","7.87","-56.90","11.86"
17년12월(4Q),"8,350","4,002","2,708","142","34","60","2,636","30.30","3.17","23","61.48","4.62","-31.16","5.23","3.47","-64.22","14.26"
17년09월(3Q),"6,680","4,013","2,342","146","105","208","2,643","21.10","2.53","69","51.14","21.61","21.52","6.25","10.61","58.37","12.95"
17년06월(2Q),"7,420","3,898","2,155","107","102","4","2,567","25.48","2.89","66","62.01","-0.20","3.39","4.97","10.52","71.12","13.32"
17년03월(1Q),"7,090","3,775","2,301","165","179","-50","2,487","26.89","2.85","118","64.42","15.31","78.82","7.19","19.03","21.68","14.18"
16년12월(4Q),"5,780","3,748","2,588","206","97","-89","2,469","23.81","2.34","64","76.67","13.40","","7.95","10.61","","13.71"
16년09월(3Q),"5,710","3,583","1,926","120","66","68","2,360","","2.42","44","64.99","-8.89","-5.44","6.25","7.47","","14.80"
16년06월(2Q),"6,340","3,511","2,159","104","59","16","2,313","","2.74","39","81.43","2.95","20.78","4.80","6.76","-52.18","14.34"
16년03월(1Q),"4,920","3,468","1,996","93","154","79","2,285","","2.15","97","78.12","4.37","125.27","4.64","17.24","503.31","11.65"
15년12월(4Q),"5,070","3,315","2,282","-115","-459","163","2,213","","2.29","-269","109.36","21.48","","-5.02","-46.06","","8.36"
15년09월(3Q),"5,530","3,762","2,114","127","-250","209","2,475","","2.23","-167","107.34","-12.85","41.35","6.03","-26.18","","15.16"
15년06월(2Q),"5,340","3,997","2,097","86","118","19","2,631","31.89","2.03","81","96.43","-22.57","-42.29","4.09","12.61","29.33","12.82"
15년03월(1Q),"5,630","3,837","1,912","41","28","336","2,523","37.77","2.23","16","109.45","-28.81","-38.81","2.15","2.53","-55.11","10.73"
14년12월(4Q),"5,300","3,880","1,879","258","78","261","2,554","31.41","2.08","51","112.48","-53.85","-5.21","13.72","8.10","-34.11","15.12"
14년09월(3Q),"7,080","3,812","2,425","90","32","278","2,509","36.70","2.82","19","117.82","-2.78","-56.48","3.72","3.08","-54.26","11.63"
14년06월(2Q),"7,820","3,821","2,709","149","89","427","2,517","35.97","3.11","63","122.48","-9.29","7.25","5.49","10.10","58.54","13.01"
14년03월(1Q),"8,880","3,741","2,686","67","41","-752","2,459","45.75","3.61","36","132.43","6.64","61.34","2.50","5.87","74.55","10.43"
13년12월(4Q),"7,560","3,686","4,071","272","95","406","2,415","41.98","3.13","78","128.58","-3.79","21.61","6.68","13.95","-23.70","12.22"
13년09월(3Q),"9,780","2,620","2,495","207","53","103","1,871","47.13","5.13","42","200.96","-8.12","76.31","8.30","9.18","-35.21","13.95"
13년06월(2Q),"7,980","2,559","2,986","139","54","241","1,822","34.57","4.30","40","222.30","32.40","","4.64","8.88","","13.16"
13년03월(1Q),"7,910","2,468","2,519","42","23","405","1,756","53.00","4.42","20","230.33","20.97","","1.65","4.65","","10.89"
12년12월(4Q),"8,050","2,497","4,231","224","129","79","1,773","75.39","4.46","102","263.86","","","5.28","","","12.34"
12년09월(3Q),"7,150","2,541","2,391","145","118","-31","1,842","36.14","3.81","85","176.60","15.54","101.97","6.08","18.78","24.33","12.42"
12년06월(2Q),"7,220","2,464","2,066","63","85","236","1,787","39.90","3.97","61","189.02","-14.13","-45.04","3.03","14.05","-6.14","8.90"
12년03월(1Q),"7,780","2,370","1,928","","-7","-73","1,719","42.05","4.44","-5","183.21","-9.85","","-0.02","-1.09","","8.95"
11년12월(4Q),"8,770","2,463","","","","","1,716","","5.02","","187.72","","","","","",""
11년09월(3Q),"6,370","2,311","2,069","72","95","589","1,677","23.93","3.73","68","169.13","3.58","61.50","3.48","16.84","834.11","10.71"
11년06월(2Q),"7,230","2,179","2,406","114","90","253","1,581","35.42","4.49","65","190.54","16.92","12.35","4.74","16.84","-1.34","11.44"
11년03월(1Q),"8,240","2,118","2,138","54","48","-77","1,537","40.19","5.27","34","204.46","39.05","","2.53","8.97","","10.48"
10년12월(4Q),"9,630","2,209","","","","","1,519","","6.23","","201.52","","","","","",""
10년09월(3Q),"11,550","","1,998","45","10","-321","","","","7","","","","2.23","","","13.28"
10년06월(2Q),"7,230","","2,058","101","92","376","","","","66","","","","4.93","","","15.98"
10년03월(1Q),"9,320","","1,538","-25","-14","267","","","","-12","","","","-1.62","","","10.41"
09년12월(4Q),"6,530","517","1,077","69","-25","156","628","","10.22","-30","443.33","-1.08","-40.63","6.45","-19.46","","14.63"
09년09월(3Q),"5,490","498","872","50","5","12","605","","8.91","7","408.07","-8.28","34.23","5.77","4.36","","16.55"
09년06월(2Q),"4,170","496","847","27","-672","-104","603","","6.80","-815","415.41","-12.85","-50.08","3.21","-321.78","","12.91"
09년03월(1Q),"5,260","1,174","896","25","-21","15","1,425","","3.63","-25","165.01","28.26","","2.82","-7.10","","13.97"
08년12월(4Q),"4,450","1,186","1,089","117","-576","185","1,439","","3.04","-699","160.24","-15.96","113.61","10.75","-176.36","","14.06"
08년09월(3Q),"5,100","1,429","951","37","-157","-3","1,735","","2.89","-191","121.40","21.37","37.61","3.94","-41.82","","11.23"
08년06월(2Q),"7,530","1,576","972","55","-36","255","1,912","1,651.76","3.87","-43","92.99","27.37","","5.61","-8.96","","12.23"
08년03월(1Q),"9,800","1,611","699","-4","-18","-173","1,955","304.49","4.92","-22","87.49","-13.78","","-0.61","-4.48","","13.99"
07년12월(4Q),"11,150","1,637","1,295","55","40","307","1,987","180.38","5.51","48","76.00","30.85","56.91","4.23","9.75","7.94","12.89"
07년09월(3Q),"10,650","1,609","784","27","18","36","1,953","182.94","5.36","22","66.50","1.51","34.63","3.48","4.52","901.74","15.48"
07년06월(2Q),"8,100","1,584","763","-5","-13","176","1,922","212.11","4.14","-16","66.09","-11.95","","-0.67","-3.36","","12.09"
07년03월(1Q),"5,900","1,593","811","7","6","-82","1,933","74.88","3.00","7","68.14","7.92","-68.34","0.89","1.45","-74.02","12.55"
06년12월(4Q),"7,020","1,595","990","35","37","155","1,936","70.79","3.56","44","69.35","-0.26","90.58","3.53","9.30","220.76","12.76"
06년09월(3Q),"6,600","1,558","772","20","2","60","1,891","97.05","3.43","2","63.13","4.35","-30.65","2.62","0.46","-93.95","12.82"
06년06월(2Q),"5,370","1,556","866","27","20","160","1,888","52.52","2.79","24","60.43","4.17","-41.58","3.09","5.05","-60.59","11.02"
06년03월(1Q),"85,000","1,537","751","23","22","-55","1,865","62.60","4.48","27","61.27","17.92","262.82","3.02","5.83","574.22","11.04"
05년12월(4Q),"81,000","1,522","993","18","11","336","1,847","70.54","4.31","14","68.82","-8.00","-54.96","1.85","3.05","-74.90","11.02"
05년09월(3Q),"39,450","1,481","740","29","29","81","1,801","24.99","2.15","36","57.93","-2.37","-44.60","3.94","8.90","-28.60","13.03"
05년06월(2Q),"33,000","1,133","832","46","43","178","1,599","19.07","2.03","60","81.87","0.16","35.57","5.50","15.40","136.57","10.12"
05년03월(1Q),"36,700","1,090","637","6","3","54","1,538","24.13","2.12","4","77.16","-15.94","-81.34","0.98","1.03","-84.98","11.14"
04년12월(4Q),"24,900","1,118","1,079","41","39","167","1,577","14.02","1.40","55","84.61","-16.72","90.28","3.77","14.32","49.59","8.55"
04년09월(3Q),"16,900","1,078","758","53","36","182","1,522","10.76","0.99","51","78.59","-11.85","381.61","6.95","13.55","892.54","14.52"
04년06월(2Q),"15,200","1,042","830","34","18","129","1,472","14.35","0.92","25","82.45","-3.16","-32.55","4.06","7.00","-51.93","10.72"
04년03월(1Q),"12,300","1,024","758","33","19","35","1,446","8.99","0.76","27","78.70","-3.55","112.98","4.42","7.38","326.83","10.70"
03년12월(4Q),"13,700","1,036","1,295","21","26","147","1,462","12.04","0.83","37","105.80","2.87","-65.69","1.65","10.28","","6.97"
03년09월(3Q),"12,100","1,010","860","11","4","128","1,426","48.51","0.75","5","91.16","-0.42","-46.18","1.27","1.44","-74.85","7.99"
03년06월(2Q),"15,700","1,006","857","50","38","111","1,421","37.40","0.98","53","92.55","12.98","14.25","5.83","15.24","16.26","12.85"
03년03월(1Q),"10,400","969","786","16","4","10","1,368","30.87","0.68","6","95.75","19.19","-22.54","2.00","1.84","-51.43","9.07"
02년12월(4Q),"14,750","964","1,259","62","-30","","1,362","35.86","0.96","-42","121.76","34.27","90.41","4.95","-11.99","","9.69"
02년09월(3Q),"15,000","1,032","863","20","14","","1,451","9.97","0.92","20","103.68","23.34","-35.78","2.35","5.62","-24.44","9.37"
02년06월(2Q),"18,950","1,018","759","44","32","","1,431","12.01","1.18","46","103.46","2.55","-0.50","5.77","12.92","12.65","12.35"
02년03월(1Q),"27,500","986","659","20","9","","1,385","18.09","1.76","13","101.74","2.79","-67.57","3.08","3.78","-78.35","10.35"
01년12월(4Q),"18,000","953","938","33","39","","1,340","8.80","1.19","55","104.10","-5.18","-24.06","3.49","16.33","5.20","6.46"
01년09월(3Q),"15,000","966","700","32","19","","1,358","7.50","0.98","27","99.06","19.21","-21.72","4.52","7.97","-49.71","9.24"
01년06월(2Q),"20,600","947","740","44","29","","1,331","8.94","1.38","40","92.31","23.82","13.85","5.95","12.32","-22.87","11.92"
01년03월(1Q),"17,350","918","641","63","42","","1,291","7.03","1.19","60","82.39","23.46","138.90","9.76","19.10","43.15","16.29"
00년12월(4Q),"13,000","855","989","43","31","","1,202","5.83","0.97","52","107.20","","","4.36","17.59","","9.25"
