결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"19,100","30,687","58,904","1,633","109","114","24,876","11.48","0.77","118","220.58","-9.82","135.69","2.77","1.90","-23.33","4.83"
19년06월(2Q),"18,350","30,336","64,188","1,800","1,215","6,361","24,544","10.80","0.75","977","227.92","3.93","32.36","2.80","16.27","158.56","4.60"
19년03월(1Q),"17,750","28,981","61,751","1,644","688","4,568","23,496","16.13","0.76","579","250.88","0.07","9.46","2.66","9.87","-21.40","4.71"
18년12월(4Q),"18,200","28,895","62,953","1,172","-224","976","23,402","14.47","0.78","-10","241.96","9.74","21.90","1.86","-0.17","","2.92"
18년09월(3Q),"20,950","29,331","65,318","693","136","-810","23,572","12.91","0.89","153","250.17","18.98","-29.31","1.06","2.60","-1.72","2.80"
18년06월(2Q),"21,400","29,347","61,759","1,360","384","8","23,519","13.17","0.91","378","243.76","0.90","40.37","2.20","6.51","121.26","4.28"
18년03월(1Q),"22,900","28,656","61,710","1,502","861","-1,635","22,922","16.15","1.00","736","241.30","18.12","36.15","2.43","12.89","-6.07","5.56"
17년12월(4Q),"18,150","28,525","57,367","961","361","3,645","22,774","12.57","0.80","355","221.47","16.38","33.76","1.68","6.22","","6.39"
17년09월(3Q),"19,300","28,240","54,897","980","197","2,283","22,884","24.66","0.84","156","232.45","43.09","47.71","1.79","2.74","-40.78","5.47"
17년06월(2Q),"22,300","28,009","61,208","969","190","-800","22,731","25.04","0.98","171","249.42","59.27","17.79","1.58","3.03","-63.51","5.44"
17년03월(1Q),"23,850","27,653","52,245","1,103","920","-1,306","22,431","20.04","1.06","784","232.42","34.55","12.92","2.11","13.90","34.15","5.91"
16년12월(4Q),"27,000","25,037","49,294","719","-170","-73","22,093","27.64","1.22","-339","231.07","19.72","-13.74","1.46","-6.16","","6.06"
16년09월(3Q),"24,500","24,706","38,365","664","188","1,928","21,959","18.74","1.12","263","196.22","-8.20","-24.44","1.73","4.80","","6.75"
16년06월(2Q),"25,000","24,814","38,431","822","538","4,896","21,970","26.11","1.14","468","209.89","-18.31","-5.30","2.14","8.62","10.03","6.96"
16년03월(1Q),"21,600","24,271","38,830","977","667","1,177","21,489","23.61","1.01","584","231.25","-14.20","-11.86","2.52","10.89","-27.12","8.00"
15년12월(4Q),"16,350","24,212","41,174","833","-54","4,261","21,442","14.44","0.76","-8","232.20","-21.50","-33.54","2.02","-0.16","","7.52"
15년09월(3Q),"20,750","24,805","41,794","878","-202","2,792","21,926","13.60","0.95","-87","251.98","-15.92","-2.03","2.10","-1.59","","7.36"
15년06월(2Q),"25,800","24,630","47,045","868","489","4,793","21,711","13.96","1.19","425","263.63","-10.62","-10.18","1.85","7.95","-43.90","6.65"
15년03월(1Q),"26,550","23,963","45,255","1,108","853","830","21,121","12.17","1.26","802","292.11","-8.17","72.16","2.45","15.27","232.44","7.92"
14년12월(4Q),"31,450","23,747","52,453","1,254","401","1,335","20,887","19.41","1.51","385","293.34","2.14","171.13","2.39","7.45","32.93","7.30"
14년09월(3Q),"37,550","23,230","49,707","896","248","1,323","20,400","24.62","1.84","236","298.57","24.57","308.75","1.80","4.66","-42.59","5.88"
14년06월(2Q),"36,600","22,924","52,638","967","852","-1,122","20,111","21.53","1.82","758","291.92","32.61","97.52","1.84","15.28","169.46","5.75"
14년03월(1Q),"38,700","22,368","49,280","644","262","-5,912","19,610","31.64","1.97","241","290.98","22.78","54.17","1.31","4.93","4.04","5.30"
13년12월(4Q),"41,300","22,302","51,354","462","309","-3,196","19,561","34.02","2.11","289","270.75","30.34","","0.90","5.90","","5.17"
13년09월(3Q),"37,950","22,362","39,902","219","456","1,787","19,658","52.62","1.93","411","237.70","-5.80","-38.23","0.55","8.37","-64.23","4.92"
13년06월(2Q),"35,350","22,378","39,695","489","316","-2,866","19,658","24.22","1.80","281","248.13","-13.34","-17.87","1.23","5.77","-66.71","6.19"
13년03월(1Q),"37,850","22,033","40,136","418","249","1,074","19,334","18.71","1.96","232","262.90","-12.06","-25.77","1.04","4.81","204.59","5.89"
12년12월(4Q),"39,650","21,891","39,398","-116","-237","2,835","19,213","21.31","2.06","-203","241.04","-26.78","","-0.29","-4.20","","4.64"
12년09월(3Q),"42,100","22,225","42,358","355","1,296","3,799","19,502","16.54","2.16","1,149","282.63","-9.51","800.42","0.84","23.31","80.81","5.58"
12년06월(2Q),"33,000","22,767","45,804","596","1,020","-2,622","19,945","16.74","1.65","845","310.26","-5.53","38.73","1.30","18.51","-2.04","5.91"
12년03월(1Q),"35,900","18,940","45,642","563","76","1,232","18,318","17.06","1.96","76","384.77","0.38","-20.49","1.23","1.65","112.01","5.86"
11년12월(4Q),"28,950","19,104","53,808","478","542","-1,452","18,485","14.03","1.57","531","366.10","27.21","-0.50","0.89","12.06","-58.95","5.53"
11년09월(3Q),"29,550","17,350","46,809","39","651","-177","16,758","10.55","1.76","636","450.32","22.05","-91.61","0.08","15.53","","4.37"
11년06월(2Q),"37,900","16,493","48,486","430","887","-2,991","16,009","28.00","2.37","863","393.04","12.18","-21.65","0.89","22.07","191.98","4.98"
11년03월(1Q),"37,150","15,736","45,469","707","27","-4,617","15,323","47.50","2.42","36","388.34","23.75","51.46","1.56","0.95","-88.16","5.77"
10년12월(4Q),"36,150","15,324","42,298","480","1,284","-2,101","15,151","34.09","2.39","1,294","353.49","","","1.14","","","5.88"
10년09월(3Q),"40,200","","38,354","470","-848","-2,356","","","","-833","","","","1.23","","","5.91"
10년06월(2Q),"31,000","","43,222","548","296","-3,215","","","","296","","","","1.27","","","5.83"
10년03월(1Q),"36,000","","36,743","467","310","-2,185","","","","303","","","","1.27","","","6.33"
09년12월(4Q),"33,100","13,897","35,498","248","238","8,519","13,791","26.77","2.40","236","179.56","36.43","12.11","0.70","6.84","310.15","5.67"
