결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"49,250","10,063","3,869","232","149","233","16,356","29.46","3.01","245","71.93","5.73","-20.52","6.01","6.03","-54.25","11.02"
19년09월(3Q),"44,150","9,924","3,717","280","300","434","16,122","22.48","2.74","491","32.81","7.38","-15.43","7.52","12.36","-22.01","12.91"
19년06월(2Q),"53,600","9,617","3,698","167","234","-359","15,626","25.51","3.43","384","30.25","10.54","-20.04","4.52","10.87","-29.11","10.01"
19년03월(1Q),"60,200","7,682","3,553","219","329","320","12,857","26.60","4.68","557","32.96","5.46","-4.98","6.17","17.45","4.79","10.95"
18년12월(4Q),"63,700","7,581","3,659","292","320","24","12,690","28.47","5.02","535","25.00","18.05","43.58","7.99","17.16","-3.65","12.47"
18년09월(3Q),"73,000","7,323","3,462","331","372","450","12,257","32.34","5.96","629","26.23","12.67","26.96","9.55","21.06","22.79","13.68"
18년06월(2Q),"44,050","6,959","3,346","209","321","233","11,641","20.58","3.78","541","28.13","13.78","-22.53","6.25","19.04","82.24","10.75"
18년03월(1Q),"47,450","6,636","3,369","231","315","139","11,102","25.02","4.27","532","27.52","17.86","-24.47","6.85","19.32","36.86","10.99"
17년12월(4Q),"39,800","6,522","3,100","204","330","239","10,910","22.70","3.65","555","28.16","8.12","-34.57","6.57","20.85","48.56","11.09"
17년09월(3Q),"29,650","6,224","3,072","260","303","123","10,400","18.86","2.85","512","26.19","9.04","12.11","8.48","20.21","67.76","12.63"
17년06월(2Q),"15,350","5,904","2,941","270","176","","9,884","11.25","1.55","297","23.41","8.43","44.32","9.18","12.21","2,763.69","13.19"
17년03월(1Q),"15,350","5,716","2,859","305","230","192","9,568","14.24","1.60","389","29.23","2.83","148.88","10.68","16.28","676.27","15.25"
16년12월(4Q),"12,000","5,694","2,867","311","221","309","9,523","16.22","1.26","374","27.13","-2.14","66.12","10.86","16.08","53.02","15.26"
16년09월(3Q),"11,650","5,426","2,818","232","183","284","9,080","19.09","1.28","305","25.45","-5.70","-7.25","8.25","13.67","43.81","14.27"
16년06월(2Q),"10,350","5,281","2,712","187","12","194","8,795","20.01","1.18","10","29.37","-10.53","","6.90","0.47","","11.95"
16년03월(1Q),"11,200","5,286","2,780","123","30","63","8,814","24.86","1.27","50","33.91","-14.80","-22.03","4.41","2.25","-72.94","8.79"
15년12월(4Q),"13,700","5,382","2,930","187","142","259","8,976","23.40","1.53","244","33.31","-16.64","-10.53","6.40","11.06","-10.48","11.09"
15년09월(3Q),"11,950","5,223","2,988","251","122","298","8,701","19.46","1.37","212","34.36","-12.41","-4.42","8.38","9.89","-37.31","12.88"
15년06월(2Q),"11,600","5,087","3,031","-35","-38","181","8,473","15.67","1.37","-56","36.33","-11.15","","-1.16","-2.65","","3.66"
15년03월(1Q),"140,700","5,124","3,263","157","95","-121","8,531","12.93","1.65","185","40.91","-3.26","-33.95","4.82","8.66","-43.22","9.26"
