결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"35,250","290,472","28,151","7,795","8,473","-5,312","94,839","4.44","0.37","2,787","1,346.43","5.82","-6.48","6.81","11.98","41.94","12.74"
19년06월(2Q),"37,400","285,677","28,063","9,807","6,659","-31,253","92,359","5.26","0.40","2,193","1,319.39","10.17","7.14","8.97","9.68","3.83","13.36"
19년03월(1Q),"36,400","273,709","27,684","7,492","5,539","33,342","88,872","5.18","0.41","1,819","1,337.76","15.88","-15.77","7.57","8.22","-19.18","14.42"
18년12월(4Q),"36,250","271,085","27,446","5,139","3,497","-30,803","88,026","4.86","0.41","1,137","1,320.25","16.92","-28.32","6.80","5.23","-32.15","19.44"
18년09월(3Q),"44,550","264,738","26,602","8,335","5,988","-6,719","85,930","5.57","0.52","1,963","1,342.44","17.41","22.35","13.98","9.23","13.94","23.94"
18년06월(2Q),"42,850","259,831","25,472","9,154","6,437","-28,135","84,301","5.52","0.51","2,112","1,336.44","15.78","31.34","8.15","10.16","16.01","12.48"
18년03월(1Q),"45,750","253,009","23,890","8,895","6,829","11,340","82,042","6.12","0.56","2,250","1,358.08","12.72","42.74","11.46","11.03","35.36","17.26"
17년12월(4Q),"49,800","248,279","23,473","7,169","5,130","54,746","80,654","7.24","0.62","1,675","1,350.34","11.80","5,964.21","5.99","8.33","448.52","11.26"
17년09월(3Q),"47,350","247,159","22,658","6,812","5,265","-11,821","80,300","8.59","0.59","1,723","1,369.99","10.73","10.13","9.53","8.66","13.32","18.18"
17년06월(2Q),"45,250","242,797","22,000","6,969","5,637","-3,508","78,862","8.52","0.57","1,821","1,337.60","5.29","65.22","15.25","9.38","53.03","27.43"
17년03월(1Q),"36,950","235,325","21,193","6,231","5,134","20,703","76,413","7.90","0.48","1,663","1,357.49","-1.28","10.90","4.02","8.73","12.39","7.69"
16년12월(4Q),"31,250","233,900","20,995","118","1,076","47,908","75,971","6.95","0.41","305","1,388.57","-4.40","","0.19","1.60","","18.79"
16년09월(3Q),"27,850","236,666","20,462","6,186","4,672","-5,092","76,955","7.19","0.36","1,520","1,300.80","-8.99","156.64","5.71","7.92","76.64","10.58"
16년06월(2Q),"23,250","235,471","20,894","4,218","3,754","13,754","76,585","7.24","0.30","1,190","1,287.37","-7.64","-13.60","6.60","6.27","-6.51","17.90"
16년03월(1Q),"24,800","231,234","21,467","5,619","4,495","-22,217","75,217","7.53","0.33","1,479","1,354.71","-7.92","32.06","5.07","7.89","14.68","10.54"
15년12월(4Q),"23,600","229,717","21,962","-1,442","-863","38,868","74,829","7.63","0.32","-317","1,323.11","-9.80","","-2.39","-1.69","","19.07"
15년09월(3Q),"26,400","230,583","22,483","2,410","2,678","11,696","75,132","7.32","0.35","861","1,351.31","-11.56","-37.84","1.84","4.61","-9.58","8.61"
15년06월(2Q),"29,050","227,401","22,622","4,882","3,907","8,781","74,205","7.86","0.39","1,272","1,362.31","-11.64","-6.04","6.55","6.90","-11.70","15.18"
15년03월(1Q),"28,750","224,060","23,313","4,255","3,820","-34,090","74,119","7.45","0.39","1,290","1,335.23","-8.79","74.29","5.71","7.02","94.09","15.16"
14년12월(4Q),"32,000","218,936","24,347","919","569","59,118","72,879","9.89","0.44","177","1,341.28","-6.71","20.22","1.05","0.97","-10.18","13.43"
14년09월(3Q),"38,500","218,472","25,421","3,877","2,890","5,776","72,872","11.83","0.53","952","1,327.10","-2.69","-25.11","7.98","5.28","-22.88","24.64"
14년06월(2Q),"37,500","214,073","25,603","5,196","4,260","2,265","71,393","10.60","0.53","1,441","1,371.09","-3.12","152.45","6.18","8.16","79.79","14.11"
14년03월(1Q),"38,900","209,775","25,559","2,441","2,079","-16,593","69,918","13.43","0.56","665","1,353.20","-4.27","-33.11","4.11","3.83","-43.95","19.20"
13년12월(4Q),"43,900","208,896","26,098","765","696","38,263","69,343","13.06","0.63","197","1,313.09","-7.41","","1.02","1.16","","15.28"
13년09월(3Q),"36,850","203,778","26,123","5,177","3,663","-4,460","69,304","13.30","0.53","1,234","1,355.07","-12.20","57.93","12.73","7.33","29.01","27.47"
13년06월(2Q),"33,250","202,029","26,428","2,058","2,453","-239","68,787","13.81","0.48","802","1,397.17","-11.39","-46.70","2.97","5.24","-3.38","16.20"
