결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"44,200","2,308","1,832","-28","-70","-66","19,407","","2.28","-497","324.05","-12.08","","-1.51","-11.72","","100.00"
19년06월(2Q),"50,200","2,421","1,937","36","-36","128","20,361","83.88","2.47","-207","322.75","-1.56","-24.05","1.88","-4.74","","100.00"
19년03월(1Q),"72,400","2,428","2,229","132","94","76","20,429","75.20","3.54","783","309.62","-2.83","9.59","5.91","18.04","36.55","100.00"
18년12월(4Q),"68,800","2,399","1,938","29","-50","453","20,131","91.34","3.42","-361","198.53","-13.45","-81.50","1.49","-8.30","","100.00"
18년09월(3Q),"73,900","2,452","2,084","52","54","34","20,484","44.45","3.61","384","178.40","3.37","-42.31","2.48","8.64","33.26","100.00"
18년06월(2Q),"87,400","2,500","1,967","48","26","-106","20,894","55.78","4.18","157","171.07","5.90","-15.93","2.43","3.52","","100.00"
18년03월(1Q),"120,000","2,463","2,293","120","76","-179","20,680","98.13","5.80","573","145.04","18.81","11.00","5.24","12.83","18.11","100.00"
17년12월(4Q),"103,000","2,457","2,239","156","67","251","20,909","90.75","4.93","549","155.63","52.47","312.38","6.98","13.16","153.32","100.00"
17년09월(3Q),"86,100","2,001","2,016","90","38","398","18,304","107.24","4.70","288","189.60","25.96","-13.42","4.45","7.41","-48.12","100.00"
17년06월(2Q),"91,500","2,032","1,858","57","-29","19","18,608","85.52","4.92","-187","162.22","33.03","","3.07","-4.74","","100.00"
17년03월(1Q),"79,600","2,060","1,930","108","53","-5","18,788","93.27","4.24","485","155.06","29.58","12.68","5.61","12.07","49.93","100.00"
16년12월(4Q),"66,100","2,121","1,469","38","27","322","19,237","95.55","3.44","217","145.31","17.58","-58.47","2.58","5.35","-64.03","100.00"
16년09월(3Q),"69,700","2,093","1,600","104","66","344","18,992","64.69","3.67","555","150.31","49.36","46.73","6.48","13.72","119.88","100.00"
16년06월(2Q),"83,600","2,120","1,397","-28","-56","-106","19,216","107.89","4.35","-403","138.04","27.91","","-2.02","-9.82","","100.00"
16년03월(1Q),"84,600","2,128","1,490","96","38","-285","19,633","41.94","4.31","324","135.75","26.06","-42.98","6.45","7.73","-68.85","100.00"
15년12월(4Q),"115,000","2,173","1,249","91","74","159","20,021","42.09","5.74","602","132.11","29.13","-18.77","7.30","14.42","-21.03","100.00"
15년09월(3Q),"145,000","2,075","1,072","71","34","372","19,527","50.12","7.43","252","118.59","2.31","-47.90","6.59","6.07","-72.92","100.00"
15년06월(2Q),"127,500","2,105","1,092","117","106","-88","19,846","35.69","6.42","839","97.23","20.89","78.97","10.73","20.53","58.26","100.00"
15년03월(1Q),"112,000","1,975","1,182","168","128","-93","19,116","34.32","5.86","1,039","115.03","26.15","84.93","14.25","26.45","58.87","100.00"
14년12월(4Q),"77,900","1,880","967","112","97","405","18,727","27.06","4.16","763","132.66","16.30","85.35","11.61","20.04","50.22","100.00"
14년09월(3Q),"68,900","1,803","1,047","136","115","324","17,959","26.26","3.84","932","123.11","1.06","-6.13","12.95","24.18","-0.85","100.00"
14년06월(2Q),"67,800","1,910","903","65","63","240","17,601","25.76","3.85","530","105.71","14.04","3.23","7.25","13.14","-3.33","100.00"
