결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"75,300","49,543","3,550","1,774","2,257","-10,004","80,762","6.67","0.93","3,677","1,068.04","22.15","-4.91","5.94","18.83","46.14","6.95"
19년06월(2Q),"80,700","53,102","4,756","2,718","2,091","2,973","77,126","7.97","1.05","3,381","1,353.49","34.05","40.80","8.28","18.20","19.36","8.05"
19년03월(1Q),"62,100","50,376","4,405","3,086","2,613","315","73,096","6.49","0.85","4,192","1,318.77","38.31","31.01","9.01","23.56","30.26","7.30"
18년12월(4Q),"59,500","48,979","4,862","63","-8","-36,068","70,907","6.92","0.84","32","1,206.75","75.92","-95.72","0.28","0.18","-98.29","12.91"
18년09월(3Q),"76,100","49,209","2,906","1,866","1,533","3,945","71,233","7.29","1.07","2,516","1,115.79","23.22","35.44","9.94","14.56","31.21","9.33"
18년06월(2Q),"84,100","47,632","3,548","1,930","1,675","2,046","68,640","8.55","1.23","2,832","1,095.07","68.93","12.10","9.12","17.21","32.88","10.35"
18년03월(1Q),"82,700","42,112","3,185","2,355","1,960","24","64,668","9.05","1.28","3,218","1,180.75","63.36","19.84","9.25","20.36","36.07","7.79"
17년12월(4Q),"69,000","41,373","2,764","1,478","994","-26,060","63,430","8.33","1.09","1,870","1,078.15","46.87","82.68","9.61","12.00","106.11","10.98"
17년09월(3Q),"61,200","41,180","2,359","1,377","949","5,545","62,857","8.36","0.97","1,918","1,022.35","26.02","19.92","9.02","12.52","31.34","9.60"
17년06월(2Q),"70,100","38,332","2,100","1,722","1,246","-13,321","61,261","9.24","1.14","2,131","971.20","13.13","125.31","11.13","14.67","147.52","8.30"
17년03월(1Q),"47,100","35,489","1,950","1,966","1,442","-8,156","56,573","7.62","0.83","2,365","1,021.38","8.17","119.12","9.78","17.11","80.09","5.92"
16년12월(4Q),"41,900","34,995","1,882","809","522","9,511","55,663","8.35","0.75","907","966.39","12.67","2,923.71","16.35","6.73","","22.68"
16년09월(3Q),"40,750","33,126","1,872","1,149","876","-14,874","53,905","10.30","0.76","1,460","1,018.92","2.79","50.63","6.57","11.08","20.28","6.59"
16년06월(2Q),"42,100","32,678","1,856","764","511","7,859","53,140","11.43","0.79","861","1,010.38","-1.30","-56.46","5.73","6.65","-64.35","8.29"
16년03월(1Q),"43,950","32,049","1,803","897","802","-2,752","52,086","8.14","0.84","1,313","1,005.75","2.34","-31.04","5.10","10.23","-22.36","6.25"
15년12월(4Q),"49,550","31,708","1,670","27","-34","830","52,291","8.51","0.95","-55","894.09","-4.29","-96.64","2.66","-0.43","","100.14"
15년09월(3Q),"61,100","31,804","1,821","763","748","3,596","52,445","8.94","1.17","1,214","851.96","6.13","-29.03","3.86","9.53","-9.55","5.92"
15년06월(2Q),"63,700","30,952","1,881","1,755","1,488","-2,841","51,064","9.13","1.25","2,416","832.17","9.21","122.59","13.73","19.77","152.20","9.49"
15년03월(1Q),"62,900","29,264","1,761","1,301","1,042","-1,264","48,323","11.73","1.30","1,692","858.85","9.66","112.86","9.97","14.40","134.15","8.17"
14년12월(4Q),"48,500","28,603","1,745","795","531","-4,464","47,250","11.30","1.03","862","786.07","10.70","375.16","9.45","7.46","432.62","11.52"
14년09월(3Q),"55,400","28,327","1,716","1,074","827","-1,802","46,802","15.74","1.18","1,342","779.46","-7.91","20.29","10.95","11.92","-4.83","8.95"
14년06월(2Q),"40,200","27,153","1,722","788","590","3,311","44,896","15.09","0.90","958","767.10","11.66","69.97","8.19","8.73","68.70","8.86"
14년03월(1Q),"36,800","26,922","1,606","611","445","-2,258","44,520","19.86","0.83","722","760.99","-1.74","300.62","6.78","6.65","222.10","8.85"
