결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"25,900","700,245","159,123","12,393","2,411","35,699","106,907","","0.24","347","176.87","-3.03","-11.18","7.79","1.30","-68.56","11.58"
19년06월(2Q),"25,550","697,912","130,710","-2,987","-4,122","13,221","106,578","","0.24","-697","176.10","-2.00","","-2.28","-2.61","","2.74"
19년03월(1Q),"29,900","702,656","152,484","-6,299","-7,612","23,398","107,375","","0.28","-1,227","172.62","-2.91","","-4.13","-4.54","","-0.02"
18년12월(4Q),"33,100","710,928","151,746","-7,885","-7,427","-2,966","108,641","","0.30","-1,241","160.57","-2.45","","-5.20","-4.54","","-0.18"
18년09월(3Q),"29,350","719,374","164,098","13,952","7,373","35,523","110,017","","0.27","1,104","159.64","1.37","-49.68","8.50","4.03","-52.54","12.23"
18년06월(2Q),"32,000","712,784","133,372","-6,871","-9,186","-2,107","108,998","","0.29","-1,479","160.65","3.18","","-5.15","-5.39","","-0.32"
18년03월(1Q),"32,850","721,980","157,060","-1,276","-2,505","36,351","110,478","136.46","0.30","-432","154.89","3.69","","-0.81","-1.56","","3.07"
17년12월(4Q),"38,150","729,646","155,550","-1,294","-13,468","21,553","111,660","18.86","0.34","-2,163","149.15","1.76","","-0.83","-7.67","","5.24"
17년09월(3Q),"39,000","744,446","161,877","27,729","15,292","40,747","113,841","8.46","0.34","2,326","140.79","1.53","-37.32","17.13","8.26","-48.75","21.05"
17년06월(2Q),"40,800","728,700","129,255","8,465","3,589","16,338","111,423","5.98","0.37","510","146.93","-2.64","-68.70","6.55","1.83","-81.05","11.42"
17년03월(1Q),"46,450","724,301","151,466","14,632","9,000","33,861","110,782","5.16","0.42","1,350","145.01","-3.43","-59.42","9.66","4.86","-59.40","13.31"
16년12월(4Q),"44,050","730,505","152,861","12,676","2,795","22,455","111,725","4.01","0.39","426","143.44","4.04","-52.68","8.29","1.53","-82.41","13.64"
16년09월(3Q),"54,000","723,045","159,435","44,242","29,382","52,663","110,607","4.16","0.49","4,538","143.75","3.06","1.94","27.75","16.73","-68.44","32.27"
16년06월(2Q),"60,400","696,396","132,754","27,045","17,678","32,838","106,451","2.65","0.57","2,689","151.57","-2.90","29.53","20.37","10.23","32.28","24.83"
16년03월(1Q),"60,200","679,782","156,853","36,053","21,628","57,249","103,919","2.72","0.58","3,326","160.07","3.71","60.96","22.99","12.81","77.94","26.23"
15년12월(4Q),"50,000","679,425","146,921","26,788","15,750","36,798","103,798","2.42","0.48","2,421","157.95","-1.43","208.04","18.23","9.44","243.51","22.43"
15년09월(3Q),"49,000","663,851","154,700","43,401","92,764","56,383","101,419","2.58","0.48","14,377","163.58","3.77","51.66","28.05","61.06","496.45","31.44"
15년06월(2Q),"45,800","570,533","136,718","20,880","13,419","28,078","86,951","6.53","0.53","2,033","198.11","6.07","151.79","15.27","9.48","743.40","19.31"
15년03월(1Q),"46,000","555,252","151,239","22,399","12,231","48,172","84,660","8.80","0.54","1,869","200.44","2.38","82.54","14.81","8.89","125.47","17.86"
14년12월(4Q),"42,700","548,250","149,054","8,696","4,771","23,017","83,496","10.20","0.51","705","198.60","4.42","113.13","5.83","3.42","-23.97","9.36"
14년09월(3Q),"48,200","535,243","149,075","28,616","15,690","40,978","82,720","10.94","0.58","2,410","201.15","4.34","84.94","19.20","12.03","63.67","22.14"
14년06월(2Q),"37,300","517,280","128,893","8,292","1,915","19,891","79,941","10.75","0.47","241","207.13","10.39","","6.43","1.22","","10.49"
14년03월(1Q),"36,450","518,939","147,726","12,271","5,613","36,571","80,126","50.98","0.45","829","202.62","7.06","86.55","8.31","4.22","299.30","11.26"
13년12월(4Q),"34,750","514,507","142,744","4,080","6,251","17,535","79,446","371.74","0.44","927","202.28","9.57","","2.86","4.78","","6.50"
13년09월(3Q),"30,050","505,560","142,880","15,473","9,737","14,105","78,159","","0.38","1,473","201.54","6.78","-18.83","10.83","7.71","0.63","14.44"
13년06월(2Q),"26,500","499,432","116,763","-10,941","-15,849","7,122","76,962","","0.34","-2,514","204.63","15.93","","-9.37","-13.08","","-5.55"
13년03월(1Q),"30,300","512,345","137,991","6,578","1,604","30,077","79,129","","0.38","208","191.45","6.64","","4.77","1.07","","7.97"
12년12월(4Q),"30,450","510,642","130,276","-4,221","-17,562","21,323","78,868","","0.39","-2,779","186.21","10.26","","-3.24","-14.06","","0.40"
12년09월(3Q),"27,900","522,089","133,812","19,063","9,562","6,803","81,518","","0.34","1,464","175.57","14.13","40.76","14.25","7.35","253.07","17.64"
12년06월(2Q),"25,650","513,359","100,722","-20,603","-17,651","-5,163","80,192","","0.32","-2,779","174.29","10.49","","-20.46","-13.80","","-15.99"
12년03월(1Q),"22,400","532,921","129,405","-2,418","-5,129","16,206","83,279","","0.27","-838","159.30","19.82","","-1.87","-4.06","","1.23"
11년12월(4Q),"25,550","538,040","118,149","-7,003","-19,805","12,378","84,135","","0.30","-3,116","153.64","10.94","","-5.93","-14.77","","-1.77"
11년09월(3Q),"21,050","555,810","117,249","13,542","2,928","17,428","86,995","","0.24","415","142.40","5.81","-19.99","11.55","1.94","-70.53","15.30"
11년06월(2Q),"28,350","553,221","91,162","-10,064","-10,614","4,196","86,647","","0.33","-1,693","137.47","10.56","","-11.04","-7.83","","-6.25"
11년03월(1Q),"26,900","565,812","107,997","-6,680","-5,439","7,445","88,680","","0.30","-857","130.23","13.32","","-6.18","-3.89","","-2.63"
10년12월(4Q),"30,200","572,765","106,497","5,169","585","17,866","89,717","","0.34","101","126.13","","","4.85","","","9.26"
10년09월(3Q),"29,400","","110,810","16,926","9,261","29,160","","","","1,406","","","","15.27","","","18.75"
10년06월(2Q),"31,600","","82,457","-6,368","-8,175","1,892","","","","-1,302","","","","-7.72","","","-2.25"
10년03월(1Q),"36,550","","95,302","1,019","-2,363","18,482","","","","-392","","","","1.07","","","4.62"
09년12월(4Q),"34,100","410,879","86,313","-6,449","-3,664","7,904","65,199","","0.52","-571","70.33","5.50","","-7.47","-3.57","","-3.79"
09년09월(3Q),"35,800","411,196","93,299","16,065","9,311","20,968","65,248","","0.55","1,451","68.86","10.02","","17.22","9.16","","20.33"
09년06월(2Q),"29,650","402,124","73,654","2,336","2,398","2,802","63,834","","0.46","374","69.73","7.62","","3.17","2.39","","7.12"
09년03월(1Q),"25,450","400,006","83,591","-17,638","-8,822","-17,304","63,504","","0.40","-1,375","69.72","4.27","","-21.10","-8.72","","-17.99"
08년12월(4Q),"29,600","409,389","81,814","-21,662","-21,633","-7,870","64,967","","0.46","-3,372","63.34","13.48","","-26.48","-20.62","","-21.83"
08년09월(3Q),"30,500","429,775","84,803","-3,657","-3,253","2,926","68,144","","0.45","-507","55.99","4.74","","-4.31","-3.02","","-0.72"
08년06월(2Q),"30,750","431,987","68,436","-9,082","-7,636","-2,033","68,489","378.59","0.45","-1,190","52.52","4.93","","-13.27","-7.02","","-8.15"
08년03월(1Q),"30,050","438,358","80,171","-2,191","2,997","8,393","69,482","17.83","0.43","467","49.44","12.04","","-2.73","2.73","-61.34","0.69"
07년12월(4Q),"39,650","440,307","72,096","-8,780","-6,472","5,127","69,786","16.34","0.57","-1,009","49.08","9.88","","-12.18","-5.84","","-6.61"
07년09월(3Q),"42,900","446,245","80,962","11,448","11,632","4,929","70,712","12.65","0.61","1,813","46.17","7.02","-20.54","14.14","10.57","-3.60","18.01"
07년06월(2Q),"41,000","434,026","65,223","-625","2,656","10,167","68,884","11.85","0.60","414","47.90","7.53","","-0.96","2.46","66.75","3.31"
07년03월(1Q),"37,550","431,240","71,558","1,257","7,753","5,265","68,442","11.40","0.55","1,208","49.55","5.43","99.16","1.76","7.20","5.87","5.21"
06년12월(4Q),"42,400","429,620","65,612","-1,878","-275","16,073","68,206","13.14","0.62","-43","47.89","5.46","","-2.86","-0.25","","2.37"
06년09월(3Q),"36,850","435,876","75,649","14,408","12,066","13,394","68,092","12.06","0.54","1,881","44.78","7.43","27.99","19.05","11.23","18.47","23.07"
06년06월(2Q),"35,150","423,564","60,655","-846","1,593","952","66,183","12.73","0.53","248","45.68","7.33","","-1.39","1.51","-65.13","3.57"
06년03월(1Q),"40,800","422,060","67,873","631","7,323","9","65,962","12.65","0.62","1,141","47.37","9.52","-85.13","0.93","6.94","-34.36","4.66"
05년12월(4Q),"37,800","422,057","62,218","-4,708","-1,387","6,532","65,970","9.89","0.57","-216","46.02","8.08","","-7.57","-1.31","","-2.37"
05년09월(3Q),"35,600","421,901","70,417","11,257","10,172","8,252","66,183","8.23","0.54","1,587","44.71","5.67","-12.83","15.99","9.77","-17.51","20.37"
05년06월(2Q),"31,700","411,344","56,513","2,464","4,561","5,873","64,530","6.80","0.49","712","46.77","6.37","1.13","4.36","4.46","9.50","9.55"
05년03월(1Q),"26,100","406,916","61,975","4,245","11,141","3,015","63,830","5.67","0.41","1,739","48.73","5.65","-38.83","6.85","11.01","6.31","10.56"
04년12월(4Q),"26,850","402,769","57,568","-2,560","1,832","7,946","63,184","5.97","0.42","286","46.28","3.32","","-4.45","1.83","580.77","1.32"
04년09월(3Q),"21,750","396,506","66,638","12,914","12,332","13,000","62,200","5.11","0.35","1,925","46.92","8.93","14.18","19.38","12.64","22.48","23.31"
04년06월(2Q),"18,600","384,175","53,131","2,437","4,165","7,223","60,269","4.77","0.31","650","48.50","4.25","56.13","4.59","4.36","-42.94","9.20"
04년03월(1Q),"20,150","380,148","58,662","6,941","10,479","6,622","59,643","4.59","0.34","1,635","51.43","4.54","57.03","11.83","11.08","88.95","15.62"
03년12월(4Q),"21,400","376,427","55,716","837","269","4,375","59,053","5.91","0.36","42","50.01","4.44","","1.50","0.29","-94.15","6.94"
03년09월(3Q),"21,650","375,282","61,178","11,310","10,058","9,808","58,935","5.04","0.37","1,571","50.52","4.01","7.40","18.49","10.86","10.51","22.60"
03년06월(2Q),"18,900","365,413","50,964","1,561","7,292","1,955","57,392","4.56","0.33","1,139","51.04","6.04","-48.59","3.06","8.06","-19.69","7.63"
03년03월(1Q),"17,900","358,285","56,117","4,420","5,540","3,486","56,279","4.05","0.32","866","52.66","11.67","-19.87","7.88","6.17","-29.19","11.53"
02년12월(4Q),"18,250","359,591","53,346","-255","4,593","","56,203","3.82","0.32","717","50.02","8.68","","-0.48","5.14","241.44","4.59"
02년09월(3Q),"20,600","355,082","58,821","10,531","9,101","","55,506","4.82","0.37","1,422","50.55","5.19","8.92","17.90","10.37","20.82","22.39"
02년06월(2Q),"22,000","347,099","48,060","3,036","9,080","","54,262","5.46","0.41","1,419","50.51","6.64","27.13","6.32","10.60","88.84","10.67"
02년03월(1Q),"24,750","337,985","50,251","5,516","7,824","","52,846","7.36","0.47","1,222","54.09","4.40","-42.09","10.98","9.37","91.00","14.88"
01년12월(4Q),"21,700","329,948","49,085","-1,959","1,345","","51,585","7.81","0.42","210","54.27","6.28","","-3.99","1.62","","1.28"
01년09월(3Q),"21,000","332,419","55,920","9,668","7,533","","51,970","14.53","0.40","1,177","51.21","8.11","-31.76","17.29","9.17","-44.92","21.06"
01년06월(2Q),"24,200","324,963","45,069","2,388","4,808","","50,810","10.06","0.48","751","49.82","11.17","-69.82","5.30","5.95","23.74","10.26"
01년03월(1Q),"20,200","321,402","48,133","9,525","4,096","","50,247","8.93","0.40","640","101.85","9.20","-1.66","19.79","5.12","-45.73","23.89"
00년12월(4Q),"23,600","318,345","46,184","1,058","-7,186","","49,770","8.43","0.47","-1,123","102.70","","","2.29","-8.89","","7.51"
00년09월(3Q),"29,100","328,399","51,724","14,169","13,678","","51,352","7.42","0.57","2,137","96.91","","","27.39","17.01","","32.07"
00년06월(2Q),"34,600","314,721","40,541","7,913","3,886","","49,216","","0.70","607","100.58","","","19.52","4.97","","24.48"
00년03월(1Q),"31,500","310,848","44,079","9,685","7,548","","48,625","","0.65","1,179","106.20","","","21.97","9.83","","27.23"
