결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"124,000","133,414","36,427","303","203","-3,836","164,546","","0.75","-23","85.94","12.05","-20.21","0.83","-0.06","","6.39"
19년06월(2Q),"118,500","133,280","39,229","555","2,017","-886","164,622","","0.72","2,659","86.22","25.07","","1.41","6.40","","6.90"
19년03월(1Q),"119,000","131,374","32,685","281","173","1,217","168,168","","0.71","40","86.81","7.43","","0.86","0.09","-80.31","3.08"
18년12월(4Q),"128,500","131,110","36,899","-2,730","-2,474","-2,886","168,041","","0.76","-3,076","88.62","5.77","","-7.40","-7.11","","1.69"
18년09월(3Q),"134,500","136,853","32,509","379","-216","3,302","177,156","","0.76","-745","118.99","-5.08","-43.34","1.17","-1.69","","6.65"
18년06월(2Q),"102,000","134,116","31,365","-1,636","-2,103","-5,662","176,985","","0.58","-3,407","129.69","-26.13","","-5.22","-7.69","","1.71"
18년03월(1Q),"132,000","135,224","30,425","-1,238","258","6,511","179,010","3.82","0.74","202","131.10","-29.40","","-4.07","0.42","-95.68","0.80"
17년12월(4Q),"100,500","123,720","34,888","-3,422","-5,807","-10,924","186,325","2.55","0.51","-8,985","145.79","-17.08","","-9.81","-19.00","","-3.89"
17년09월(3Q),"145,000","128,221","34,251","669","1,970","6,253","194,322","3.55","0.71","1,486","144.21","-34.57","-43.32","1.95","3.09","-59.53","8.13"
17년06월(2Q),"176,500","127,471","42,458","1,484","26,146","7,533","193,647","4.31","0.87","41,579","160.06","-30.12","-15.52","3.49","98.99","1,045.42","11.65"
17년03월(1Q),"165,000","109,266","43,092","1,415","4,623","3,072","124,120","16.93","1.21","4,672","351.24","-36.46","1,243.87","3.28","12.10","80.22","9.20"
16년12월(4Q),"145,500","177,866","42,075","873","-3,442","3,140","211,278","19.51","0.63","-3,118","175.20","-62.52","","2.07","-6.26","","8.78"
16년09월(3Q),"138,000","181,121","52,345","1,181","3,344","-1,408","212,679","23.66","0.59","3,672","168.48","-52.06","","2.26","7.38","","10.50"
16년06월(2Q),"105,500","178,703","60,762","1,756","3,922","11,429","209,345","","0.46","3,630","182.31","-49.14","","2.89","7.84","","11.01"
16년03월(1Q),"106,500","157,064","67,823","105","2,445","13,331","185,295","","0.52","2,592","218.70","-44.54","","0.16","6.03","","5.64"
15년12월(4Q),"87,800","154,261","112,251","-3,239","-3,906","5,616","182,745","","0.44","-4,595","220.68","-20.11","","-2.89","-10.65","","3.07"
15년09월(3Q),"96,500","155,780","109,184","-8,977","-6,176","1,765","190,354","","0.46","-7,460","234.06","-11.98","","-8.22","-16.70","","1.23"
15년06월(2Q),"111,000","162,014","119,461","-1,709","-2,424","2,426","199,007","","0.51","-2,997","222.22","-6.75","","-1.43","-6.46","","4.38"
15년03월(1Q),"122,000","166,263","122,281","-1,924","-1,252","-16,181","204,433","","0.54","-1,725","223.24","-9.56","","-1.57","-3.66","","4.10"
14년12월(4Q),"115,000","165,782","140,510","-467","-456","-958","206,000","","0.51","-572","220.38","-5.16","","-0.33","-1.20","","5.13"
14년09월(3Q),"137,500","168,489","124,040","-19,346","-14,606","-1,709","208,556","","0.60","-14,610","220.39","-5.59","","-15.60","-29.40","","-10.03"
14년06월(2Q),"177,000","182,568","128,115","-11,037","-6,166","7,852","223,754","","0.72","-6,078","197.68","-2.14","","-8.62","-11.57","","-5.01"
14년03월(1Q),"211,000","189,796","135,208","-1,889","-910","9,840","231,396","","0.83","-725","180.87","2.88","","-1.40","-1.35","","3.13"
13년12월(4Q),"257,000","190,296","148,158","-871","-2,278","-3,384","231,795","67.40","1.01","-2,030","179.59","4.81","","-0.59","-3.76","","3.26"
13년09월(3Q),"264,000","193,140","131,384","2,224","-125","-10,684","234,538","183.41","1.02","316","174.15","-0.46","-62.95","1.69","0.59","-96.36","5.33"
13년06월(2Q),"183,500","190,993","130,910","2,890","668","9,240","232,025","17.26","0.72","1,220","175.98","-4.45","-20.21","2.21","2.28","-26.86","8.11"
13년03월(1Q),"211,000","189,999","131,429","3,777","3,197","9,756","213,356","18.96","0.90","3,958","176.47","-5.71","-61.68","2.87","7.48","-36.03","7.69"
12년12월(4Q),"242,000","187,414","141,360","573","-3,636","-3,314","227,212","17.82","0.97","-4,186","162.91","-2.66","-93.66","0.41","-7.90","","6.53"
12년09월(3Q),"252,500","190,958","131,990","6,003","7,316","-23,617","231,679","13.35","0.99","8,668","165.11","0.80","-34.43","4.55","16.36","35.12","9.33"
12년06월(2Q),"257,500","186,969","137,004","3,622","1,364","-5,653","226,856","15.67","1.03","1,668","168.95","2.28","-64.85","2.64","3.19","-81.11","7.03"
12년03월(1Q),"321,500","186,129","139,383","9,858","5,253","-2,006","210,047","13.22","1.39","6,187","167.65","9.74","-42.38","7.07","12.00","-61.09","11.01"
11년12월(4Q),"257,000","181,765","145,217","9,044","-254","1,678","220,976","7.34","1.06","660","169.58","16.05","-45.44","6.23","1.30","-95.47","9.97"
11년09월(3Q),"281,000","181,453","130,942","9,154","5,626","-9,353","220,262","5.58","1.16","6,415","183.18","36.57","-24.28","6.99","12.71","-54.91","11.98"
11년06월(2Q),"443,500","179,887","133,947","10,303","7,875","-5,390","218,435","7.53","1.84","8,830","179.95","72.30","-23.04","7.69","17.97","-21.24","12.12"
11년03월(1Q),"518,000","172,321","127,011","17,109","14,188","18,100","210,660","8.42","2.23","15,900","184.10","70.10","28.98","13.47","34.42","36.82","18.02"
10년12월(4Q),"443,000","160,229","125,136","16,575","12,419","-750","195,036","7.80","2.06","14,562","192.42","","","13.25","","","17.57"
10년09월(3Q),"327,500","","95,879","12,090","12,410","-2,386","","","","14,228","","","","12.61","","","17.69"
10년06월(2Q),"235,000","","77,742","13,388","10,384","4,136","","","","11,211","","","","17.22","","","24.06"
10년03월(1Q),"237,000","","74,667","13,265","10,414","1,511","","","","11,621","","","","17.77","","","23.13"
09년12월(4Q),"173,500","98,084","53,317","6,847","7,213","1,891","140,100","5.91","1.12","8,965","153.58","-11.89","1.42","12.84","32.83","-16.83","17.77"
09년09월(3Q),"180,000","77,678","49,858","5,318","5,338","-3,529","114,739","5.74","1.43","6,635","205.63","2.95","54.60","10.67","29.34","82.93","15.05"
09년06월(2Q),"190,500","67,892","53,310","5,347","3,931","810","103,390","6.79","1.67","4,885","270.61","13.21","-2.34","10.03","24.64","-40.01","14.06"
09년03월(1Q),"195,500","59,717","54,936","4,714","4,983","-8,752","93,229","6.18","1.90","6,193","353.97","26.17","-26.30","8.58","34.46","12.65","12.69"
08년12월(4Q),"199,500","55,952","60,509","6,751","8,673","-11,534","88,550","6.46","2.05","10,780","351.82","42.30","21.42","11.16","65.15","69.11","15.50"
08년09월(3Q),"269,000","50,555","48,432","3,440","2,918","10,621","81,842","10.34","2.99","3,627","384.91","29.93","-18.76","7.10","27.23","-32.86","12.20"
08년06월(2Q),"324,000","35,198","47,090","5,475","6,552","13,762","62,755","11.58","4.69","8,143","442.06","21.46","48.44","11.63","68.06","56.93","16.03"
