결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"20,800","5,930","1,468","205","145","203","22,740","7.76","0.91","398","80.17","91.07","0.53","13.97","7.10","-20.88","22.45"
19년06월(2Q),"28,400","5,614","1,592","282","246","53","22,193","10.19","1.28","823","72.42","19.57","34.37","17.70","15.58","-45.27","23.92"
19년03월(1Q),"38,500","5,101","1,431","206","187","254","20,124","11.26","1.91","601","83.06","10.39","3.51","14.38","12.13","7.68","21.82"
18년12월(4Q),"29,550","4,954","2,220","222","243","105","19,593","8.79","1.51","857","77.97","275.06","42.09","10.01","17.88","","14.38"
18년09월(3Q),"39,350","4,729","768","204","170","267","18,826","15.74","2.09","503","84.20","-44.56","22.11","26.54","10.56","55.54","39.24"
18년06월(2Q),"44,850","4,720","1,332","210","335","-15","20,376","19.44","2.20","1,503","61.79","11.62","32.50","15.75","32.45","67.33","26.97"
18년03월(1Q),"48,450","4,018","1,296","199","154","28","17,946","27.54","2.70","558","90.71","42.15","46.03","15.34","12.60","18.12","25.93"
17년12월(4Q),"40,800","3,922","592","156","42","443","17,581","24.38","2.32","-21","90.42","-30.98","28.37","26.42","-0.47","","48.00"
17년09월(3Q),"38,350","3,881","1,386","167","108","-120","17,592","16.58","2.18","324","84.15","77.81","55.85","12.05","7.69","276.21","21.22"
17년06월(2Q),"32,100","3,586","1,193","158","244","176","16,153","15.47","1.99","898","87.06","38.44","18.58","13.27","22.79","-11.83","22.57"
17년03월(1Q),"29,200","3,315","912","136","122","184","15,454","13.30","1.89","473","81.07","13.26","9.15","14.93","12.39","1.75","25.58"
16년12월(4Q),"33,700","3,191","858","122","131","83","15,133","15.40","2.23","618","77.88","20.03","31.87","14.20","16.85","","24.46"
16년09월(3Q),"41,150","3,029","780","107","52","9","14,318","42.59","2.87","86","82.04","2.31","-12.84","13.75","2.42","-81.22","24.03"
16년06월(2Q),"60,200","2,980","862","134","211","76","14,251","45.32","4.22","1,019","87.03","6.14","3.15","15.49","29.76","82.55","24.82"
16년03월(1Q),"45,950","2,765","805","125","116","85","13,221","53.69","3.48","464","88.26","13.87","17.51","15.49","14.28","","24.77"
15년12월(4Q),"65,000","2,678","715","92","-81","68","12,881","","5.05","-603","86.51","14.31","16.33","12.93","-18.39","","23.08"
15년09월(3Q),"75,700","2,768","762","123","115","72","13,721","221.22","5.52","458","88.14","44.14","95.74","16.14","13.61","-30.29","24.34"
15년06월(2Q),"81,200","2,641","812","129","130","133","13,282","150.06","6.11","558","55.71","41.47","57.50","15.94","17.24","0.52","24.58"
15년03월(1Q),"53,300","2,507","707","106","-153","-7","12,701","99.03","4.20","-445","58.19","42.28","101.49","15.01","-14.37","","24.56"
14년12월(4Q),"43,200","2,295","625","79","-10","127","12,173","36.29","3.55","-229","64.79","47.30","57.85","12.71","-7.48","","23.29"
14년09월(3Q),"38,850","2,299","529","63","124","23","12,355","25.56","3.14","657","38.76","","","11.89","21.98","","22.50"
14년06월(2Q),"23,100","2,127","574","82","115","89","11,631","21.99","1.99","555","41.91","40.76","43.39","14.32","19.62","196.09","23.13"
14년03월(1Q),"16,700","2,010","497","53","46","54","11,089","22.51","1.51","207","43.11","1.33","-25.35","10.60","7.55","-16.03","21.62"
13년12월(4Q),"13,450","1,976","424","50","26","83","10,947","25.15","1.23","101","42.01","","","11.86","3.71","","23.20"
13년09월(2Q),"10,900","1,940","408","57","46","-3","10,845","","1.01","188","43.14","99.59","89.44","14.06","7.02","-28.77","29.16"
13년06월(1Q),"12,300","1,886","491","71","55","54","10,612","","1.16","247","48.83","143.37","189.12","14.39","9.42","63.18","23.81"
13년03월(4Q),"16,650","1,842","","","","","10,424","","1.60","","44.88","","","","","",""
12년12월(3Q),"15,150","1,543","13","-3","27","-58","9,452","23.77","1.60","267","16.24","358.39","","-19.94","10.82","295.92","41.12"
12년09월(2Q),"14,800","429","3","-5","70","76","1,560","15.07","4.90","244","516.38","-3.03","","-182.28","33.58","94.42","100.00"
12년06월(1Q),"11,350","1,247","5","-4","36","26","4,393","15.07","1.34","126","101.89","-99.37","","-92.38","11.73","-11.60","-92.38"
12년03월(4Q),"8,960","1,393","","","","","4,628","","1.00","","112.14","","","","","",""
11년12월(3Q),"7,680","1,229","3","-5","19","-6","4,330","12.88","0.92","68","74.56","-99.60","","-173.16","6.39","-61.06","9.53"
11년09월(2Q),"5,570","1,210","3","-3","36","-26","4,265","7.00","0.68","125","72.56","-99.51","","-118.86","11.97","5.89","54.53"
11년06월(1Q),"6,500","1,208","756","45","41","47","4,186","8.33","0.80","143","80.44","30.89","6.41","5.97","13.80","2.32","17.17"
11년03월(4Q),"7,520","1,232","","","","","4,096","","0.95","","83.86","","","","","",""
10년12월(3Q),"8,230","","728","53","48","4","","","","173","","","","7.23","","","17.44"
10년09월(2Q),"8,970","","588","41","33","11","","","","118","","","","6.95","","","20.74"
