결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"62,200","6,133","4,345","217","222","524","31,969","34.26","1.95","944","96.09","-11.13","10.15","4.98","15.18","-50.22","28.38"
19년09월(3Q),"60,000","5,777","4,105","71","43","-486","30,980","21.67","1.94","182","78.61","-8.04","-30.31","1.74","2.99","-56.21","24.60"
19년06월(2Q),"73,300","5,716","4,109","84","46","178","30,719","24.41","2.39","197","91.75","-18.67","-51.44","2.06","3.26","-72.59","29.04"
19년03월(1Q),"91,800","5,666","4,425","185","116","578","30,506","26.04","3.01","491","98.89","-9.32","112.07","4.19","8.11","-37.77","29.36"
18년12월(4Q),"67,400","5,745","4,889","197","446","-542","30,841","17.63","2.19","1,897","63.66","-0.22","-43.18","4.02","32.28","143.32","26.58"
18년09월(3Q),"76,600","5,323","4,463","102","98","358","29,050","28.31","2.64","417","81.47","-19.74","-74.27","2.29","7.43","-63.86","26.03"
18년06월(2Q),"105,000","5,242","5,052","174","169","212","28,705","30.51","3.66","719","79.62","0.37","-35.83","3.44","13.14","-14.19","27.08"
18년03월(1Q),"154,500","5,065","4,880","87","186","609","27,952","43.39","5.53","790","102.68","-4.89","-77.62","1.79","14.66","-39.54","26.40"
17년12월(4Q),"180,000","5,076","4,900","346","183","-186","28,000","44.15","6.43","780","92.21","-12.12","-38.20","7.06","14.60","-57.72","27.28"
17년09월(3Q),"151,500","4,984","5,561","398","271","614","27,607","29.46","5.49","1,153","105.48","12.63","-5.78","7.16","22.43","-20.64","29.94"
17년06월(2Q),"184,000","4,696","5,033","271","197","144","26,385","33.81","6.97","838","102.65","11.28","-12.66","5.39","16.59","-23.45","28.75"
17년03월(1Q),"220,000","4,818","5,131","390","307","91","25,416","38.61","8.66","1,306","79.07","19.07","28.66","7.61","24.03","27.23","29.90"
16년12월(4Q),"199,000","5,415","5,576","560","434","622","25,206","36.72","7.89","1,844","66.09","19.25","35.92","10.04","33.46","34.67","31.17"
16년09월(3Q),"176,000","4,965","4,937","422","342","359","23,292","35.60","7.56","1,453","67.27","12.56","21.29","8.55","28.43","19.11","30.82"
16년06월(2Q),"159,000","4,658","4,523","310","258","253","21,988","33.75","7.23","1,095","69.83","6.60","-25.50","6.86","22.76","-17.85","30.19"
16년03월(1Q),"223,500","4,404","4,309","303","242","306","20,910","45.16","10.69","1,026","79.51","13.39","4.41","7.04","22.07","8.11","31.62"
15년12월(4Q),"231,500","4,352","4,676","412","322","514","20,688","47.52","11.19","1,370","76.67","23.74","26.28","8.81","30.64","22.98","29.25"
15년09월(3Q),"285,500","4,065","4,386","348","287","254","19,464","61.85","14.67","1,220","81.28","32.17","23.54","7.94","29.35","31.48","32.53"
15년06월(2Q),"281,000","3,764","4,243","417","314","503","18,186","64.98","15.45","1,333","84.40","33.26","53.37","9.82","34.83","44.69","31.03"
15년03월(1Q),"184,500","3,446","3,800","291","223","769","16,835","47.16","10.96","949","90.96","28.00","29.52","7.65","26.20","31.97","30.08"
14년12월(4Q),"114,500","3,380","3,779","326","262","-99","16,557","31.09","6.92","1,114","60.93","24.43","28.63","8.63","32.23","38.07","31.28"
14년09월(3Q),"114,500","3,127","3,319","282","219","137","15,481","33.92","7.40","928","83.93","27.95","64.36","8.49","29.01","60.93","30.75"
14년06월(2Q),"77,800","2,898","3,184","272","217","185","14,508","25.73","5.36","921","86.73","29.25","32.49","8.53","31.09","42.32","30.85"
14년03월(1Q),"70,000","2,684","2,969","224","169","276","13,599","25.45","5.15","719","100.99","50.28","33.49","7.56","25.44","24.86","30.12"
13년12월(4Q),"50,300","2,643","3,037","254","190","237","13,424","19.30","3.75","807","91.54","46.13","82.61","8.35","29.82","55.81","27.28"
13년09월(3Q),"42,900","2,452","2,594","171","136","-354","12,623","18.51","3.40","577","93.28","33.32","69.96","6.61","22.74","77.84","30.13"
13년06월(2Q),"30,650","2,323","2,463","205","152","437","12,062","14.84","2.54","647","102.74","27.61","67.78","8.32","27.07","52.90","32.04"
13년03월(1Q),"21,600","2,183","1,976","168","136","527","11,491","11.73","1.88","576","99.43","5.18","52.07","8.51","25.06","39.94","33.35"
12년12월(4Q),"18,550","2,149","2,078","139","122","-218","11,346","11.06","1.63","518","75.35","","","6.68","","","30.81"
12년09월(3Q),"18,500","2,013","1,781","74","59","210","10,777","12.83","1.72","250","91.90","11.62","-23.00","4.17","11.50","-35.87","30.74"
12년06월(2Q),"18,450","2,082","1,832","108","90","-6","8,845","11.66","2.09","385","79.56","8.31","-14.59","5.91","17.76","-6.37","31.94"
12년03월(1Q),"22,150","1,995","1,775","96","81","210","10,142","13.78","2.18","343","96.94","9.99","2.60","5.41","16.05","-1.50","30.24"
11년12월(4Q),"20,350","2,024","","","","","10,265","","1.98","","95.00","","","","","",""
11년09월(3Q),"19,350","1,932","1,595","97","92","-68","9,873","11.29","1.96","390","69.75","20.81","47.62","6.05","19.38","89.54","29.51"
11년06월(2Q),"13,400","1,856","1,692","127","97","","9,484","8.76","1.41","411","73.68","17.40","89.62","7.49","21.25","87.17","29.76"
11년03월(1Q),"13,850","1,783","1,614","94","82","139","9,170","10.35","1.51","348","83.70","14.82","28.19","5.80","18.33","11.15","29.06"
10년12월(4Q),"13,850","1,775","","","","","9,063","","1.53","","78.70","","","","","",""
10년09월(3Q),"10,500","","1,320","65","48","134","","","","206","","","","4.95","","","27.26"
10년06월(2Q),"12,700","","1,441","67","52","-33","","","","219","","","","4.64","","","25.60"
10년03월(1Q),"12,600","","1,405","73","74","42","","","","313","","","","5.19","","","24.21"
09년12월(4Q),"11,600","1,672","1,641","68","47","89","8,285","11.78","1.40","199","84.56","71.19","99.13","4.17","11.29","3,340.29","15.12"
09년09월(3Q),"9,200","1,640","1,467","100","80","172","8,149","11.62","1.13","339","81.36","38.88","35.66","6.84","19.77","4.16","28.63"
09년06월(2Q),"7,980","1,591","1,292","56","62","173","7,809","10.25","1.02","262","77.98","20.40","-33.43","4.30","15.89","-14.85","27.04"
09년03월(1Q),"6,150","1,518","1,071","56","43","53","7,503","7.46","0.82","185","85.23","4.44","-11.60","5.20","11.26","-26.60","24.95"
08년12월(4Q),"6,700","1,568","959","34","1","-55","7,663","7.52","0.87","6","55.38","-17.92","-49.70","3.58","0.35","-97.58","13.44"
08년09월(3Q),"8,780","1,573","1,056","74","77","21","7,568","7.81","1.16","326","58.79","10.34","98.50","7.00","19.97","117.77","29.58"
08년06월(2Q),"8,500","1,498","1,073","83","73","63","7,249","8.97","1.17","308","63.46","6.48","296.70","7.77","19.93","113.12","31.07"
08년03월(1Q),"7,600","1,412","1,026","63","59","-36","6,883","9.69","1.10","251","67.38","0.39","233.79","6.15","16.74","84.04","29.39"
07년12월(4Q),"6,700","1,416","1,168","68","56","137","6,901","10.01","0.97","239","67.75","22.73","701.29","5.84","16.13","11.51","29.21"
07년09월(3Q),"6,980","1,370","957","37","35","25","6,707","10.82","1.04","150","63.38","5.84","46.57","3.89","10.40","19.08","29.31"
07년06월(2Q),"7,410","1,337","1,008","21","34","27","6,564","11.93","1.13","145","66.97","2.84","-30.98","2.09","10.31","1.08","28.51"
07년03월(1Q),"8,290","1,302","1,022","19","32","119","6,417","13.38","1.29","137","77.03","-2.21","-20.66","1.85","9.84","42.32","29.07"
06년12월(4Q),"7,710","1,311","952","9","50","190","6,456","13.32","1.19","214","67.19","-2.56","-36.82","0.89","15.73","","30.06"
06년09월(3Q),"6,190","1,251","904","25","30","-8","6,232","17.45","0.99","126","69.64","-6.50","49.46","2.81","9.57","137.46","31.43"
06년06월(2Q),"7,700","1,221","980","30","34","-23","6,106","27.31","1.26","143","75.78","-0.04","163.16","3.11","11.16","99.17","30.61"
06년03월(1Q),"7,540","1,191","1,045","24","23","35","5,980","35.79","1.26","96","81.23","8.63","1,564.80","2.28","7.53","232.74","29.75"
