결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"2,380","130,495","38,856","882","730","16,580","14,674","10.14","0.16","76","959.78","3.62","-60.06","1.29","2.31","-44.89","41.19"
19년06월(2Q),"3,275","122,539","38,924","563","655","-4,909","13,785","11.04","0.24","82","1,011.12","4.38","-75.45","0.87","2.61","-48.43","41.93"
19년03월(1Q),"4,000","118,198","38,451","377","232","-6,827","13,351","10.72","0.30","22","1,039.34","3.47","-81.96","0.61","0.73","-82.59","46.55"
18년12월(4Q),"4,220","114,297","37,306","-92","-5","12,382","12,931","8.83","0.33","55","1,055.63","2.03","","-0.18","1.85","","55.98"
18년09월(3Q),"5,290","115,222","37,498","2,208","1,441","-11,288","13,006","15.66","0.41","138","1,035.59","1.00","-16.73","3.71","4.63","-30.45","43.13"
18년06월(2Q),"5,300","112,567","37,292","2,294","1,701","9,417","12,946","13.31","0.41","158","1,047.08","0.60","-43.20","3.48","5.62","-45.31","38.29"
18년03월(1Q),"6,190","101,406","37,162","2,092","1,329","5,918","11,709","11.69","0.53","127","1,146.52","-4.07","-25.72","3.55","4.74","-53.18","46.66"
17년12월(4Q),"6,910","102,381","36,563","27","-675","6,270","11,831","10.26","0.58","-85","1,130.64","-1.81","","0.05","-3.12","","41.30"
17년09월(3Q),"6,850","103,884","37,129","2,652","2,014","14,221","12,165","10.41","0.56","198","1,104.33","-0.26","-9.42","4.17","7.13","-8.38","37.80"
17년06월(2Q),"6,960","104,113","37,069","4,038","2,888","6,060","12,205","10.30","0.57","290","1,088.20","54.18","124.06","6.52","10.86","-54.75","38.73"
17년03월(1Q),"6,040","95,370","38,740","2,817","2,660","6,636","11,259","5.89","0.54","271","1,165.34","20.47","54.33","3.70","10.84","68.85","32.36"
16년12월(4Q),"6,530","91,592","37,237","-1,345","-672","5,802","10,884","7.13","0.60","-101","1,203.41","24.16","","-2.55","-3.71","","38.34"
16년09월(3Q),"5,760","111,118","37,227","2,928","2,172","9,789","13,033","5.74","0.44","216","973.98","49.17","203.94","4.59","7.29","55.27","35.81"
16년06월(2Q),"5,790","109,060","24,043","1,802","5,558","5,457","12,833","6.25","0.45","640","979.62","0.68","-43.35","4.54","22.90","119.85","29.82"
16년03월(1Q),"6,700","91,955","32,158","1,825","1,394","19,830","11,651","11.61","0.58","161","1,014.23","34.43","-10.99","3.62","6.26","-17.20","25.66"
15년12월(4Q),"7,390","86,428","29,992","-329","-122","26,772","11,014","12.11","0.67","-14","1,051.60","28.85","","-0.76","-0.54","","25.99"
15년09월(3Q),"8,160","93,823","24,956","963","1,209","14,432","11,267","12.87","0.72","139","946.00","9.30","-43.18","2.12","5.31","-30.10","25.94"
15년06월(2Q),"7,930","88,554","23,881","3,181","2,528","22,049","10,660","11.42","0.74","291","979.31","2.83","96.19","7.78","11.18","94.51","27.73"
15년03월(1Q),"7,370","92,440","23,921","2,051","1,684","18,817","11,107","13.34","0.66","194","926.96","6.62","61.17","5.19","7.53","79.50","28.50"
14년12월(4Q),"8,290","86,522","23,276","255","85","9,427","10,348","17.76","0.80","10","964.78","5.05","-83.88","0.69","0.42","-92.02","24.62"
14년09월(3Q),"7,100","76,191","22,832","1,695","1,730","10,988","8,992","12.24","0.79","199","1,055.91","-20.52","9.03","4.48","9.27","65.31","30.09"
14년06월(2Q),"6,460","73,217","23,223","1,622","1,299","2,289","8,650","11.49","0.75","150","1,074.23","7.06","-17.41","4.21","7.24","-17.57","25.57"
14년03월(1Q),"6,980","70,487","22,436","1,272","938","7,073","8,335","13.50","0.84","108","1,090.90","10.68","-4.70","3.63","5.35","3.49","31.24"
13년12월(4Q),"7,590","69,865","22,157","1,581","1,067","20,049","8,264","15.40","0.92","123","1,079.02","-21.21","67.57","4.75","6.15","46.37","29.11"
13년09월(2Q),"6,950","69,138","21,693","1,963","1,577","9,208","8,180","14.17","0.85","182","1,062.81","-15.57","-16.99","5.32","9.23","-13.63","25.08"
13년06월(1Q),"6,580","67,601","20,271","1,335","907","18,028","8,003","12.67","0.82","104","1,061.70","15.75","-20.68","3.88","5.25","-40.75","24.94"
13년03월(4Q),"6,830","70,490","28,121","944","730","9,602","8,335","11.56","0.82","84","1,004.76","43.51","-59.45","2.41","4.19","-54.79","22.18"
12년12월(3Q),"7,760","68,841","28,727","1,555","1,047","13,440","8,145","11.20","0.95","121","994.05","69.45","-14.06","3.80","6.10","-22.92","22.57"
12년09월(2Q),"7,720","68,405","25,693","2,365","1,826","19,033","8,096","10.59","0.95","210","963.40","50.88","217.68","6.27","10.95","186.48","25.57"
12년06월(1Q),"6,430","64,932","17,512","1,683","1,531","18,240","7,696","10.86","0.84","176","983.02","5.84","-12.14","5.95","9.41","1.43","29.88"
12년03월(4Q),"7,490","65,171","19,595","2,327","1,615","-13","7,724","12.71","0.97","186","960.38","16.97","","7.92","9.97","","31.98"
11년12월(3Q),"7,400","64,420","16,953","1,809","1,360","12,947","7,589","25.36","0.98","156","947.76","-1.77","36.63","6.36","8.42","28.07","29.53"
11년09월(2Q),"5,590","65,024","17,028","745","636","-48","7,449","21.70","0.75","73","916.28","1.13","-67.97","2.59","3.92","-64.86","30.01"
11년06월(1Q),"7,740","65,283","16,546","1,916","1,509","1,435","7,516","19.69","1.03","174","901.78","0.18","22.10","7.11","9.20","16.66","31.47"
11년03월(4Q),"7,580","65,935","16,752","-650","-970","-1,054","7,592","20.59","1.00","-112","881.27","","","-2.81","","","39.66"
10년12월(3Q),"7,950","","17,257","1,324","1,060","1,491","","","","122","","","","4.40","","","34.35"
10년09월(2Q),"7,630","","16,838","2,325","1,814","9","","","","209","","","","7.75","","","30.95"
