결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"42,300","87,150","46,315","1,702","69","880","59,778","11.57","0.71","-64","109.15","3.70","4.61","3.68","-0.43","","9.83"
19년09월(3Q),"46,300","88,871","40,878","2,392","2,182","-3,490","60,983","10.84","0.76","1,472","106.39","-8.88","0.52","5.85","9.81","129.95","10.18"
19년06월(2Q),"53,600","86,098","46,819","2,451","1,922","7,627","59,041","15.59","0.91","1,298","113.93","10.42","10.96","5.23","8.91","-2.57","9.93"
19년03월(1Q),"53,400","84,374","38,777","2,052","1,560","-228","57,514","15.38","0.93","950","118.61","9.60","-6.07","5.29","6.68","5.45","10.05"
18년12월(4Q),"54,600","82,919","44,663","1,627","669","-317","56,293","15.95","0.97","551","117.74","3.95","-16.40","3.64","3.88","","8.15"
18년09월(3Q),"67,500","84,007","44,863","2,379","1,267","930","57,237","25.23","1.18","640","116.42","5.73","-15.35","5.30","4.47","24.90","9.85"
18년06월(2Q),"57,500","83,518","42,401","2,209","2,017","757","57,224","22.57","1.00","1,332","117.29","0.76","-17.08","5.21","9.45","5.90","10.34"
18년03월(1Q),"43,700","81,230","35,382","2,185","1,402","1,124","55,541","17.67","0.79","901","123.90","-14.53","-10.48","6.17","6.35","279.48","11.79"
17년12월(4Q),"36,300","84,729","42,965","1,946","11","5,762","58,029","20.06","0.63","-198","117.54","-19.90","-48.04","4.53","-1.36","","9.84"
17년09월(3Q),"38,350","84,065","42,431","2,811","1,111","-5,339","58,179","9.00","0.66","512","123.00","-5.01","0.13","6.62","3.55","-43.67","10.30"
17년06월(2Q),"46,050","82,274","42,081","2,664","2,047","2,470","57,358","9.89","0.80","1,258","130.52","-10.59","-10.16","6.33","8.92","-12.06","10.84"
17년03월(1Q),"49,500","79,679","41,395","2,440","547","2,251","55,501","10.25","0.89","237","140.60","-3.46","17.79","5.90","1.69","-56.18","11.18"
16년12월(4Q),"42,800","81,246","53,638","3,746","3,152","6,650","56,786","8.34","0.75","2,251","144.61","-6.93","1.25","6.98","16.31","103.30","10.73"
16년09월(3Q),"39,250","77,283","44,669","2,807","1,401","1,821","53,649","9.84","0.73","910","148.34","-5.19","6.16","6.28","6.77","-3.66","10.23"
16년06월(2Q),"33,350","77,100","47,064","2,965","1,894","4,389","53,888","8.29","0.62","1,430","154.60","-2.27","16.59","6.30","10.75","52.35","11.35"
16년03월(1Q),"42,150","75,189","42,879","2,072","869","-1,994","52,523","11.93","0.80","542","155.32","8.74","3.25","4.83","4.17","-31.12","8.46"
15년12월(4Q),"28,550","73,906","57,630","3,700","2,450","4,859","51,324","7.56","0.56","1,107","161.82","14.71","181.83","6.42","8.64","397.53","10.17"
15년09월(3Q),"34,200","72,767","47,114","2,644","1,630","4,127","51,158","11.82","0.67","944","171.27","10.62","14.61","5.61","7.48","17.89","8.54"
15년06월(2Q),"41,050","70,870","48,155","2,543","1,441","245","49,838","14.93","0.82","939","170.79","2.40","-9.04","5.28","7.61","-5.48","8.24"
15년03월(1Q),"50,400","69,358","39,432","2,007","1,117","-3,271","48,898","17.98","1.03","787","166.04","19.83","6.93","5.09","6.53","-17.66","8.60"
14년12월(4Q),"42,100","67,873","50,239","1,313","684","5,392","47,477","14.16","0.89","223","168.80","26.06","10.54","2.61","1.87","-32.99","5.75"
14년09월(3Q),"60,300","67,848","42,592","2,307","1,351","5,416","47,658","19.57","1.27","801","163.18","20.49","11.96","5.42","6.80","-41.70","8.48"
14년06월(2Q),"57,600","66,146","47,029","2,796","1,569","-2,583","46,531","15.76","1.24","993","159.29","35.50","39.33","5.94","8.75","-2.76","9.95"
14년03월(1Q),"56,000","52,739","32,906","1,877","1,189","-3,964","44,339","15.20","1.26","956","182.39","15.01","5.05","5.70","8.73","-22.29","8.91"
13년12월(4Q),"60,700","51,342","39,852","1,188","506","9,244","43,270","15.34","1.40","332","185.66","-3.24","-49.82","2.98","3.06","-72.12","5.81"
13년09월(3Q),"61,800","51,584","35,349","2,061","1,692","-6,026","43,598","12.83","1.42","1,374","174.12","6.50","-6.22","5.83","12.80","-2.14","8.74"
13년06월(2Q),"55,900","49,471","34,707","2,007","1,299","1,260","42,291","11.53","1.32","1,022","174.70","9.10","27.42","5.78","9.78","8.50","8.88"
13년03월(1Q),"66,900","48,230","28,612","1,786","1,497","-3,303","41,246","14.03","1.62","1,230","166.08","5.75","21.88","6.24","11.99","18.52","9.47"
12년12월(4Q),"70,000","47,559","41,186","2,366","1,515","2,950","40,811","15.30","1.72","1,191","168.02","8.30","69.01","5.75","11.72","9.72","9.00"
12년09월(3Q),"67,500","47,047","33,193","2,197","1,722","5,277","40,488","15.10","1.67","1,404","167.44","12.07","-13.75","6.62","14.10","-28.73","10.83"
12년06월(2Q),"65,000","45,456","31,813","1,575","1,184","-3,178","39,188","12.91","1.66","942","169.20","10.85","-17.10","4.95","9.68","-39.49","8.63"
12년03월(1Q),"80,800","44,731","27,056","1,466","1,248","-4,768","38,641","14.30","2.09","1,038","174.06","18.38","-2.85","5.42","10.87","-4.68","9.02"
11년12월(4Q),"70,400","43,635","38,029","1,400","1,364","6,851","37,711","12.35","1.87","1,086","172.07","8.69","-15.64","3.68","11.65","335.44","6.81"
11년09월(3Q),"61,100","42,522","29,617","2,548","2,382","-2,768","36,866","12.56","1.66","1,970","170.81","11.16","8.53","8.60","21.86","65.24","12.07"
11년06월(2Q),"86,100","40,526","28,700","1,900","1,830","-5,272","35,252","21.07","2.44","1,556","176.44","-1.70","-14.00","6.62","17.86","-24.70","10.56"
11년03월(1Q),"79,200","39,533","22,855","1,509","1,275","-368","34,446","17.23","2.30","1,088","181.35","-0.40","-9.66","6.60","12.66","-0.63","10.88"
10년12월(4Q),"72,300","39,384","34,990","1,660","353","3,676","34,344","15.71","2.11","249","179.21","","","4.74","","","11.04"
10년09월(3Q),"72,500","","26,644","2,347","1,423","-4,150","","","","1,192","","","","8.81","","","12.75"
10년06월(2Q),"56,700","","29,197","2,209","2,428","1,233","","","","2,067","","","","7.56","","","11.40"
10년03월(1Q),"62,100","","22,948","1,670","1,267","6,038","","","","1,095","","","","7.28","","","11.68"
09년12월(4Q),"70,900","30,257","22,877","622","1,324","2,528","27,147","17.26","2.61","1,190","167.42","3.23","-16.32","2.72","17.61","308.05","6.97"
09년09월(3Q),"64,000","29,904","23,507","1,254","1,035","-2,024","26,903","19.94","2.38","931","182.05","29.95","2.35","5.33","13.96","-16.89","8.31"
09년06월(2Q),"53,400","29,406","26,606","1,537","1,028","1,926","26,455","15.72","2.02","925","197.57","46.19","-9.32","5.78","14.13","-12.24","8.73"
09년03월(1Q),"59,000","28,808","19,796","775","1,179","6,130","25,917","16.73","2.28","1,061","200.79","38.81","-31.89","3.92","16.33","18.25","6.96"
08년12월(4Q),"57,100","28,931","22,161","743","324","6,353","26,041","16.98","2.19","292","181.49","24.14","-36.73","3.36","4.68","-54.42","7.07"
08년09월(3Q),"69,900","26,442","18,090","1,225","1,244","-1,093","23,803","18.83","2.94","1,120","180.66","31.87","36.05","6.77","19.44","154.66","10.29"
08년06월(2Q),"69,500","24,776","18,199","1,695","1,171","2,920","22,307","22.93","3.12","1,054","186.16","31.77","82.16","9.32","19.24","59.61","12.80"
08년03월(1Q),"86,000","23,906","14,261","1,138","996","-423","21,541","32.61","3.99","897","194.23","28.36","85.28","7.98","17.03","17.59","12.06"
07년12월(4Q),"88,200","22,867","17,852","1,175","710","4,362","20,610","35.24","4.28","640","191.75","20.84","34.99","6.58","12.55","-29.76","10.46"
07년09월(3Q),"87,400","22,368","13,718","900","488","1,577","20,168","31.51","4.33","440","185.85","5.68","-15.34","6.56","9.04","-45.01","9.99"
07년06월(2Q),"67,600","20,814","13,811","931","731","-594","18,792","21.57","3.60","660","192.41","11.27","-16.42","6.74","14.65","-36.77","10.61"
07년03월(1Q),"50,700","19,123","11,111","614","845","-3,295","17,269","14.41","2.94","763","205.56","4.00","-31.45","5.53","18.10","-12.10","10.02"
06년12월(4Q),"57,000","18,226","14,774","871","1,006","2,668","16,460","15.73","3.46","911","213.23","12.12","-36.96","5.89","23.19","-49.77","10.63"
06년09월(3Q),"50,900","16,497","12,980","1,064","876","137","15,064","11.25","3.38","800","238.30","27.72","-3.40","8.20","21.83","120.73","11.89"
06년06월(2Q),"43,500","15,604","12,412","1,114","1,144","298","14,249","10.64","3.05","1,045","240.36","21.67","14.88","8.97","30.91","307.32","13.05"
06년03월(1Q),"49,550","13,997","10,683","896","950","-882","12,790","15.01","3.87","868","273.94","14.75","-1.63","8.39","27.99","56.30","12.63"
