결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"19,500","9,350","6,372","-966","-1,175","-2,520","10,301","","1.89","-1,380","332.25","5.15","","-15.16","-50.19","","-6.36"
19년06월(2Q),"21,050","10,541","6,319","-383","-572","1,360","11,694","","1.80","-672","283.37","1.22","","-6.06","-22.33","","0.64"
19년03월(1Q),"23,250","11,117","5,902","11","74","-1,035","12,370","","1.88","91","268.63","12.53","-77.70","0.19","2.95","","7.13"
18년12월(4Q),"27,850","11,080","6,571","-2,129","-2,443","980","12,282","","2.27","-2,860","261.21","-12.69","","-32.40","-83.67","","-21.80"
18년09월(3Q),"30,500","13,464","6,061","-65","-548","198","15,063","","2.02","-606","189.10","-7.14","","-1.07","-15.80","","4.62"
18년06월(2Q),"28,050","13,972","6,242","180","31","-1,216","15,640","","1.79","54","172.91","-6.69","17.69","2.89","1.38","152.59","10.09"
18년03월(1Q),"15,800","13,936","5,245","51","-119","-104","15,582","","1.01","-127","183.34","-19.48","-85.25","0.98","-3.24","","6.98"
17년12월(4Q),"18,750","14,183","7,526","-235","-637","1,738","15,811","","1.19","-749","187.94","-12.05","","-3.12","-18.52","","2.35"
17년09월(3Q),"17,700","14,817","6,527","188","98","-1,893","16,558","46.63","1.07","119","168.69","-4.37","146.95","2.87","2.88","","9.64"
17년06월(2Q),"20,650","14,714","6,690","153","28","3,506","16,433","385.62","1.26","21","178.71","-7.40","-60.68","2.29","0.52","-91.99","5.33"
17년03월(1Q),"20,950","14,687","6,514","348","49","-1,159","16,412","70.35","1.28","52","177.78","-10.04","13.00","5.35","1.27","372.98","10.13"
16년12월(4Q),"18,150","14,672","8,557","289","155","1,680","16,376","70.66","1.11","188","204.88","9.72","","3.37","4.63","","13.67"
16년09월(3Q),"20,600","14,399","6,825","76","-166","354","16,049","","1.28","-207","202.43","-19.53","-75.77","1.11","-5.13","","4.14"
16년06월(2Q),"17,850","14,573","7,225","390","227","483","16,265","","1.10","266","215.97","-22.31","","5.39","6.58","","10.83"
16년03월(1Q),"17,350","14,343","7,241","308","16","3,595","15,996","","1.08","11","229.43","-3.58","","4.26","0.27","","8.87"
15년12월(4Q),"14,650","14,377","7,799","-2,112","-2,352","792","15,985","","0.92","-2,773","250.84","-17.15","","-27.08","-63.81","","-25.39"
15년09월(3Q),"17,200","16,748","8,482","313","-369","-2,231","18,780","","0.92","-435","201.30","7.15","139.38","3.69","-9.19","","9.49"
15년06월(2Q),"20,250","17,046","9,300","-1","-26","-1,428","19,131","","1.06","-40","196.29","22.40","","-0.01","-0.84","","8.10"
15년03월(1Q),"19,100","17,070","7,511","-129","-297","-2,778","19,168","","1.00","-354","172.75","7.54","","-1.72","-7.31","","4.02"
14년12월(4Q),"19,950","17,387","9,413","-324","-502","560","19,541","","1.02","-589","153.11","-4.31","","-3.44","-11.80","","5.02"
14년09월(3Q),"21,450","18,137","7,916","131","-21","-155","20,425","26.27","1.05","-31","143.63","-5.95","-70.47","1.65","-0.61","","7.29"
14년06월(2Q),"26,350","18,156","7,598","58","265","-174","20,453","21.74","1.29","304","149.83","-2.69","-88.32","0.76","6.00","-38.91","5.92"
14년03월(1Q),"29,800","17,897","6,984","201","107","-2,119","20,154","21.58","1.48","119","155.35","0.75","-54.53","2.88","2.37","-73.11","8.70"
13년12월(4Q),"28,800","17,895","9,838","366","346","2,647","20,159","16.40","1.43","440","138.88","5.12","-29.98","3.72","9.58","3.04","8.36"
