결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"13,700","4,605","2,990","69","57","285","22,589","11.17","0.61","278","56.89","-11.63","-45.20","2.30","4.99","-43.00","17.66"
19년06월(2Q),"17,350","4,548","3,022","60","48","150","22,309","12.08","0.78","235","51.56","-11.08","-65.03","1.98","4.28","-67.23","17.28"
19년03월(1Q),"20,550","4,499","3,112","99","87","226","22,072","10.71","0.93","423","56.11","-9.40","-7.65","3.17","7.74","6.50","18.02"
18년12월(4Q),"20,050","4,474","3,300","78","59","377","21,948","10.59","0.91","290","51.75","19.03","-39.76","2.35","5.34","-41.32","17.67"
18년09월(3Q),"24,400","4,444","3,383","126","100","-12","21,801","11.61","1.12","488","48.23","51.73","-14.81","3.71","9.13","-28.86","16.65"
18년06월(2Q),"22,800","4,345","3,399","171","148","-108","21,321","9.97","1.07","718","51.13","74.58","41.09","5.04","13.81","39.09","17.41"
18년03월(1Q),"25,500","4,199","3,434","107","82","-190","20,609","12.32","1.24","397","60.33","76.24","-2.07","3.11","7.83","-4.76","16.50"
17년12월(4Q),"32,000","4,136","2,773","129","90","-67","20,305","15.16","1.58","494","65.06","31.13","-15.38","4.65","10.03","-32.55","20.18"
17년09월(3Q),"22,650","3,039","2,230","148","118","106","17,800","9.63","1.27","686","54.85","21.01","52.07","6.62","15.90","35.36","23.58"
17년06월(2Q),"23,800","2,921","1,947","121","89","-82","17,116","10.96","1.39","517","48.63","15.46","38.48","6.24","12.40","78.23","23.52"
17년03월(1Q),"26,900","2,833","1,949","109","72","254","16,603","13.83","1.62","417","49.87","13.76","28.83","5.59","10.27","6.20","22.62"
16년12월(4Q),"23,700","2,774","2,114","152","126","105","16,264","12.34","1.46","732","51.35","13.85","67.16","7.20","18.63","124.44","23.72"
