결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"78,100","49,217","5,322","609","522","1,278","184,736","9.18","0.42","1,739","54.26","21.77","-23.81","11.44","3.89","-25.27","72.54"
19년06월(2Q),"82,700","48,906","5,334","507","480","94","183,169","9.09","0.45","1,619","50.65","20.59","-32.70","9.50","3.64","-4.54","74.86"
19년03월(1Q),"101,000","48,539","5,210","751","671","1,422","182,037","11.01","0.55","2,325","51.35","15.30","-26.93","14.41","5.26","-30.86","74.74"
18년12월(4Q),"90,400","48,291","5,310","987","816","787","181,282","8.85","0.50","2,826","44.72","7.30","-15.38","18.59","6.45","35.26","80.58"
18년09월(3Q),"99,400","47,491","4,370","799","658","1,269","178,485","10.49","0.56","2,327","50.77","3.49","14.91","18.28","5.40","9.58","81.28"
18년06월(2Q),"115,500","46,730","4,423","753","487","715","175,721","12.46","0.66","1,696","55.79","1.48","9.05","17.03","3.98","-23.82","82.05"
18년03월(1Q),"92,600","46,327","4,519","1,028","913","1,582","174,322","9.45","0.53","3,363","47.91","-8.74","-25.78","22.74","7.94","-23.61","80.94"
17년12월(4Q),"104,500","46,177","4,948","1,166","628","1,279","173,714","9.64","0.60","2,089","46.77","-1.05","-3.62","23.57","4.99","-44.38","84.18"
17년09월(3Q),"88,400","45,258","4,223","695","594","851","170,372","7.07","0.52","2,123","48.63","-0.30","-15.15","16.46","5.16","-9.80","82.60"
17년06월(2Q),"110,500","44,663","4,359","691","609","597","168,244","8.67","0.66","2,226","47.46","-3.05","-11.32","15.85","5.49","-10.54","83.95"
17년03월(1Q),"101,000","43,975","4,952","1,385","1,191","1,646","165,683","7.77","0.61","4,403","48.75","7.98","35.27","27.96","11.05","38.19","81.79"
16년12월(4Q),"109,000","43,106","5,001","1,210","1,040","950","161,839","9.25","0.67","3,756","52.82","4.99","-7.23","24.19","9.62","15.61","81.51"
16년09월(3Q),"118,500","42,184","4,236","819","637","1,475","158,259","10.51","0.75","2,354","53.07","6.53","17.03","19.34","6.14","32.86","82.88"
16년06월(2Q),"129,000","41,492","4,496","779","672","382","155,671","12.06","0.83","2,488","54.28","16.09","10.66","17.32","6.60","10.70","84.90"
16년03월(1Q),"137,500","40,908","4,586","1,024","862","1,614","153,440","13.15","0.90","3,186","52.02","15.87","11.24","22.32","8.58","5.30","82.04"
15년12월(4Q),"126,500","40,309","4,763","1,304","890","1,714","151,083","12.29","0.84","3,249","52.84","10.37","7.10","27.38","8.92","-8.89","88.43"
15년09월(3Q),"134,000","39,397","3,976","700","505","1,980","147,603","12.63","0.91","1,772","53.13","12.09","0.13","17.61","4.95","-3.66","82.70"
15년06월(2Q),"147,000","38,910","3,873","704","607","-143","145,907","13.77","1.01","2,248","49.33","4.20","-3.98","18.17","6.37","-18.31","83.37"
