결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"19,900","3,271","10,092","130","107","504","25,540","","0.78","804","255.92","-21.20","-15.30","1.29","13.31","11.73","3.13"
19년06월(2Q),"23,450","3,152","11,688","116","-14","540","24,645","","0.95","-106","284.87","5.67","-7.10","0.99","-1.80","","2.61"
19년03월(1Q),"24,950","3,131","11,377","123","88","-119","24,488","","1.02","660","274.56","-4.43","8.48","1.08","11.33","11.59","2.73"
18년12월(4Q),"28,100","3,059","11,368","113","-344","225","23,952","","1.17","-2,601","258.97","-0.48","171.41","0.99","-39.70","","2.81"
18년09월(3Q),"33,200","3,896","12,806","154","96","-851","29,375","23.48","1.13","720","260.42","20.18","41.95","1.20","9.89","63.09","2.56"
18년06월(2Q),"36,250","3,829","11,061","125","83","485","29,775","31.93","1.22","623","227.32","5.54","19.27","1.13","8.83","-57.46","2.83"
18년03월(1Q),"18,250","3,666","11,905","114","79","-278","28,550","9.23","0.64","591","226.19","13.38","33.30","0.95","8.61","17.81","2.57"
17년12월(4Q),"19,500","3,628","11,422","41","-69","694","28,260","10.33","0.69","-521","247.00","27.31","-41.40","0.36","-6.89","","2.21"
17년09월(3Q),"20,900","4,397","10,656","108","59","-637","34,071","10.62","0.61","441","212.74","20.33","141.17","1.02","5.37","218.18","2.72"
17년06월(2Q),"20,200","4,319","10,481","105","194","191","33,486","12.13","0.60","1,466","231.51","24.66","26.94","1.00","18.56","190.50","2.81"
17년03월(1Q),"21,500","4,057","10,500","85","67","237","31,514","30.53","0.68","502","261.30","12.27","-20.03","0.81","6.35","25.67","2.50"
16년12월(4Q),"21,900","4,329","8,972","71","-58","546","33,210","36.40","0.66","-441","249.74","-4.10","","0.79","-5.15","","3.18"
16년09월(3Q),"21,800","4,748","8,855","45","19","-712","35,851","2.44","0.61","139","207.17","-15.96","-23.83","0.51","1.52","-61.60","2.48"
16년06월(2Q),"23,100","4,928","8,407","83","67","-511","37,196","2.88","0.62","505","217.12","-23.81","-31.12","0.98","5.49","7.91","3.21"
16년03월(1Q),"23,000","4,810","9,353","107","53","1,147","36,313","3.19","0.63","399","205.51","-20.01","34.47","1.14","4.36","-62.70","3.12"
15년12월(4Q),"28,600","4,900","9,355","-24","1,048","-893","36,989","3.90","0.77","7,859","206.95","-27.08","","-0.25","90.39","","2.45"
15년09월(3Q),"36,950","4,386","10,538","59","81","-14","19,606","18.53","1.66","361","350.76","-21.15","-31.62","0.56","5.69","-32.36","2.29"
15년06월(2Q),"35,900","6,964","11,034","120","105","1,509","31,151","16.39","1.01","468","166.54","-19.91","47.28","1.09","6.08","-21.88","2.82"
15년03월(1Q),"27,250","6,798","11,692","79","239","147","30,408","11.65","0.79","1,071","182.38","-7.77","-2.45","0.68","14.22","103.91","2.34"
14년12월(4Q),"30,000","6,670","12,830","45","-32","-267","29,839","17.45","0.88","-146","188.85","8.36","","0.35","-2.04","","1.75"
14년09월(3Q),"37,800","6,136","13,364","86","120","-693","27,448","12.48","1.21","534","193.07","7.13","-13.77","0.65","7.91","-80.58","2.03"
14년06월(2Q),"35,250","5,932","13,778","81","134","-28","26,538","6.35","1.17","598","206.22","-4.05","-0.18","0.59","9.00","-0.14","2.05"
14년03월(1Q),"31,700","5,961","12,677","81","117","385","26,667","5.71","1.05","525","208.06","4.33","25.73","0.64","7.89","2.54","2.34"
13년12월(4Q),"35,400","5,944","11,840","-27","224","250","26,591","6.40","1.17","1,006","189.06","-4.19","","-0.22","16.74","209.70","2.36"
13년09월(3Q),"27,850","4,779","12,475","100","612","433","21,501","5.85","1.14","2,750","292.77","-8.18","4.98","0.80","53.99","","2.30"
13년06월(2Q),"22,100","4,275","14,360","82","133","548","19,237","13.76","1.01","599","402.16","-1.46","-35.18","0.57","12.67","-52.31","2.43"
13년03월(1Q),"27,150","4,135","12,151","65","114","-457","18,601","11.54","1.28","512","413.20","-14.23","-39.92","0.53","11.11","-31.88","2.60"
12년12월(4Q),"20,700","4,099","12,358","-41","72","546","18,278","7.88","1.00","325","367.13","","","-0.33","","","2.67"
12년09월(3Q),"23,300","3,747","11,222","90","92","1,306","16,781","6.75","1.22","412","393.79","-15.42","-41.07","0.80","9.91","-56.39","2.36"
12년06월(2Q),"21,450","3,679","12,533","327","327","-309","16,477","5.29","1.15","1,464","407.47","-4.68","52.65","2.61","37.20","36.31","2.93"
12년03월(1Q),"27,050","3,349","13,003","138","203","-142","14,996","7.48","1.59","911","427.15","3.00","-31.35","1.06","24.60","20.21","2.49"
11년12월(4Q),"23,050","3,862","","","","","17,381","","1.17","","438.37","","","","","",""
11년09월(3Q),"30,200","2,470","13,268","153","211","-591","11,062","8.93","2.40","945","750.61","32.15","35.03","1.15","35.67","203.32","2.57"
11년06월(2Q),"31,700","2,261","13,149","214","240","332","10,124","11.91","2.75","1,074","654.94","50.68","32.49","1.63","44.79","29.49","2.90"
11년03월(1Q),"32,800","2,022","12,625","200","169","109","9,055","13.76","3.19","758","634.28","80.15","77.25","1.59","34.41","28.37","2.84"
10년12월(4Q),"25,650","1,966","","","","","8,756","","2.58","","719.86","","","","","",""
10년09월(3Q),"26,500","","10,040","113","70","-120","","","","311","","","","1.13","","","2.53"
10년06월(2Q),"24,900","","8,726","162","185","-695","","","","829","","","","1.86","","","3.42"
10년03월(1Q),"24,450","","7,008","113","132","-298","","","","590","","","","1.61","","","3.57"
09년12월(4Q),"21,100","1,467","6,718","87","-646","209","6,569","","2.83","-2,892","451.34","-3.60","65.98","1.30","-142.08","","3.12"
09년09월(3Q),"17,550","2,169","6,426","113","-53","225","9,715","","1.59","-238","294.09","-25.78","-43.38","1.76","-9.70","","3.97"
09년06월(2Q),"14,100","2,221","6,314","165","57","-141","9,945","102.83","1.25","254","290.33","-14.69","13.20","2.61","10.34","-66.59","4.57"
09년03월(1Q),"19,250","2,167","6,318","253","117","419","9,703","27.01","1.75","523","278.62","18.22","112.95","4.01","22.30","45.06","5.95"
08년12월(4Q),"14,500","2,021","6,969","53","-257","8","9,049","27.46","1.41","-1,153","272.64","50.67","18.91","0.75","-46.79","","3.45"
08년09월(3Q),"20,500","2,380","8,658","200","111","108","10,660","10.26","1.69","497","268.52","102.36","323.60","2.31","19.31","-6.13","4.00"
08년06월(2Q),"25,400","2,215","7,401","145","170","-195","9,918","12.48","2.25","760","246.71","76.11","106.15","1.96","32.04","-20.16","3.63"
08년03월(1Q),"18,300","2,024","5,344","119","80","281","9,065","8.12","1.78","360","248.82","49.38","139.84","2.23","16.49","4.27","4.27"
07년12월(4Q),"22,700","1,879","4,625","44","31","81","8,415","10.15","2.37","140","209.47","66.12","11.36","0.96","6.81","-79.60","3.26"
07년09월(3Q),"29,000","1,799","4,279","47","118","138","8,058","10.15","3.17","529","203.63","52.67","32.59","1.10","26.81","127.12","3.32"
