결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"3,625","7,142","14,477","-466","-1,242","1,211","2,239","","1.62","-390","858.31","1.53","","-3.22","-63.97","","2.09"
19년06월(2Q),"3,705","8,425","13,970","-1,129","-2,007","1,046","2,642","","1.40","-630","653.41","12.76","","-8.08","-95.51","","-2.49"
19년03월(1Q),"3,640","8,416","13,159","-1,057","-1,785","399","2,662","","1.37","-565","625.16","18.34","","-8.03","-75.98","","-2.33"
18년12월(4Q),"3,695","10,397","14,455","-657","-2,053","-1,169","3,290","","1.12","-655","296.42","21.67","","-4.54","-119.66","","0.26"
18년09월(3Q),"4,920","3,366","14,258","-1,231","-1,667","-692","1,066","","4.61","-532","915.66","10.05","","-8.63","-156.79","","-3.56"
18년06월(2Q),"5,030","5,185","12,388","-1,998","-2,427","-1,261","1,646","","3.06","-774","583.25","-0.25","","-16.13","-153.81","","-10.52"
18년03월(1Q),"4,375","7,487","11,120","-1,701","-1,757","-1,047","2,380","","1.84","-561","353.92","-14.63","","-15.30","-85.70","","-8.94"
17년12월(4Q),"5,020","8,969","11,880","-1,180","-2,221","-786","2,853","","1.76","-1,013","301.64","-6.58","","-9.93","-115.40","","-3.92"
17년09월(3Q),"8,250","6,357","12,956","-295","-603","238","3,230","","2.28","-312","441.44","20.14","","-2.27","-36.79","","3.86"
17년06월(2Q),"8,750","7,015","12,420","-1,281","-1,737","-1,288","3,564","","2.19","-928","387.43","22.14","","-10.31","-96.80","","-4.06"
17년03월(1Q),"8,250","7,490","13,025","-1,312","-7,346","-918","4,107","","1.79","-4,051","411.36","6.94","","-10.08","-347.38","","-4.18"
16년12월(4Q),"6,760","9,513","12,716","-1,861","-6,951","-933","5,223","","1.15","-3,833","362.31","2.62","","-14.63","-223.75","","-8.35"
16년09월(3Q),"8,110","15,419","10,784","-2,303","2,971","-1,628","8,481","","0.85","2,028","186.37","-26.90","","-21.36","136.50","","-13.73"
16년06월(2Q),"14,700","2,035","10,168","-2,543","2,160","-2,211","5,863","","2.24","4,794","2,128.77","-29.48","","-25.01","862.16","","-18.06"
16년03월(1Q),"2,210","448","12,179","-1,626","-2,761","-1,618","38","","375.41","-6,207","11,811.19","-18.19","","-13.35","-1,179.64","","-6.47"
15년12월(4Q),"4,130","2,286","12,392","-1,330","-4,313","-87","4,204","","6.33","-9,922","2,499.12","-15.16","","-10.73","-458.44","","-4.15"
15년09월(3Q),"6,150","6,444","14,754","-777","-388","-727","13,671","","2.90","-828","979.82","-15.82","","-5.27","-23.08","","0.18"
15년06월(2Q),"6,900","7,059","14,419","-684","-1,658","89","15,046","","2.96","-3,895","878.18","-15.12","","-4.74","-91.47","","0.82"
15년03월(1Q),"9,040","8,776","14,887","-3","-445","-840","19,020","26.22","3.06","-1,099","718.30","-7.14","","-0.02","-24.42","","5.82"
14년12월(4Q),"10,000","6,855","14,607","-705","-1,281","61","15,798","49.24","3.89","-3,177","959.87","-10.54","","-4.83","-72.51","","-1.24"
14년09월(3Q),"9,770","8,251","17,526","-386","2,427","-902","19,256","","3.12","6,865","801.34","-2.10","","-2.20","145.93","","3.02"
14년06월(2Q),"9,160","6,595","16,986","-414","-101","271","14,989","","3.75","695","1,132.81","-9.01","","-2.44","16.68","41.61","3.23"
14년03월(1Q),"10,300","5,992","16,031","-845","-828","941","15,503","","4.08","-3,207","1,357.20","-9.89","","-5.27","-74.49","","0.93"
13년12월(4Q),"11,400","6,877","16,327","-1,231","-3,304","120","20,830","","3.36","-13,127","1,185.82","-15.72","","-7.54","-235.57","","-1.10"
13년09월(3Q),"17,700","8,187","17,901","-358","-2,593","1,101","28,005","","3.88","-11,974","992.65","-15.62","","-2.00","-155.69","","3.59"
13년06월(2Q),"14,400","9,009","18,667","-758","70","-600","37,629","","2.30","491","895.09","-12.11","","-4.06","5.40","","1.19"
13년03월(1Q),"14,650","9,423","17,791","-1,280","-1,313","888","39,201","","2.25","-5,614","855.70","-4.56","","-7.19","-55.54","","-1.82"
12년12월(4Q),"23,600","10,953","19,373","-1,511","-4,113","103","45,782","","3.10","-19,220","720.10","-1.91","","-7.80","-155.74","","-2.60"
12년09월(3Q),"26,650","12,335","21,215","-549","-1,203","-896","55,287","","2.86","-5,541","657.63","12.15","","-2.59","-39.74","","2.36"
