결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"89,300","9,356","4,748","327","167","-12","33,988","46.58","2.63","675","156.34","0.21","-22.86","6.90","8.02","623.74","19.82"
19년06월(2Q),"90,700","9,175","4,612","385","-218","467","33,265","67.90","2.73","-739","158.73","-3.92","-7.09","8.35","-8.80","","21.14"
19년03월(1Q),"89,400","9,416","4,201","215","269","251","33,998","38.28","2.63","1,069","148.97","-3.23","11.36","5.13","12.59","","18.38"
18년12월(4Q),"107,000","9,312","4,893","398","237","575","33,916","365.95","3.15","916","155.03","2.86","48.58","8.14","10.97","","20.77"
18년09월(3Q),"111,500","9,013","4,738","424","3","188","32,897","","3.39","93","159.20","-11.65","9.82","8.96","1.13","-95.83","20.25"
18년06월(2Q),"89,600","9,046","4,800","415","53","844","32,963","102.54","2.72","257","155.30","-8.80","3.80","8.64","3.18","-72.65","20.84"
18년03월(1Q),"79,700","8,731","4,341","193","-278","80","32,474","53.04","2.45","-996","158.01","-4.67","-35.32","4.45","-12.45","","17.41"
17년12월(4Q),"54,400","8,353","4,757","268","-132","445","33,952","14.31","1.60","-480","173.88","-4.29","-42.04","5.64","-5.58","","19.71"
17년09월(3Q),"49,950","8,572","5,363","386","521","-83","34,821","4.97","1.43","2,233","157.69","19.78","-28.26","7.21","26.52","","18.14"
17년06월(2Q),"61,300","8,042","5,264","399","142","262","32,543","9.76","1.88","940","155.23","17.39","-11.33","7.59","11.75","-60.01","18.66"
17년03월(1Q),"63,200","7,878","4,554","299","259","303","31,507","8.21","2.01","1,107","152.30","24.52","-17.87","6.56","14.03","","19.65"
16년12월(4Q),"57,400","7,911","4,970","463","1,324","698","31,605","10.99","1.82","5,767","166.42","19.60","-3.01","9.31","80.43","","21.95"
16년09월(3Q),"67,900","6,513","4,477","539","-364","15","25,758","","2.64","-1,530","204.24","17.92","34.81","12.03","-22.99","","23.18"
16년06월(2Q),"62,000","6,943","4,484","450","555","682","27,490","294.60","2.26","2,352","193.47","27.92","12.75","10.04","36.01","","22.81"
16년03월(1Q),"54,800","6,260","3,657","364","-346","191","24,768","","2.21","-1,364","199.67","20.73","25.91","9.95","-21.48","","21.88"
15년12월(4Q),"60,200","6,418","4,155","477","-338","404","26,044","","2.31","-1,318","176.20","17.19","23.32","11.48","-19.89","","21.98"
15년09월(3Q),"51,200","6,658","3,797","400","134","104","26,974","","1.90","557","97.95","9.45","-6.67","10.53","10.14","-88.94","21.89"
15년06월(2Q),"75,500","3,847","3,505","399","-70","546","18,145","19.15","4.16","-328","171.53","7.77","18.65","11.40","-7.17","","21.12"
15년03월(1Q),"77,700","3,911","3,029","289","224","447","18,444","14.69","3.93","1,044","157.97","8.64","55.41","9.54","23.22","","20.53"
14년12월(4Q),"58,100","3,717","3,546","387","-382","349","17,536","21.69","3.09","-1,809","188.66","17.57","35.13","10.91","-39.03","","20.97"
14년09월(3Q),"36,500","4,140","3,469","428","1,064","368","19,539","","1.74","5,036","178.98","22.45","44.07","12.34","116.16","5,624.34","21.22"
14년06월(2Q),"30,000","3,211","3,253","337","140","329","15,142","","1.85","664","257.28","17.66","25.42","10.35","17.94","245.24","19.22"
14년03월(1Q),"45,100","3,065","2,788","186","-317","389","14,446","","2.91","-1,832","315.06","36.11","38.42","6.67","-54.69","","17.15"
13년12월(4Q),"47,800","1,601","3,016","286","-1,743","178","10,139","","3.96","-11,078","652.37","24.54","85.89","9.49","-291.26","","17.90"
13년09월(3Q),"63,900","3,198","2,833","297","14","455","20,288","","2.65","88","287.05","22.58","88.52","10.49","1.77","-96.69","18.22"
13년06월(2Q),"59,000","3,069","2,764","268","27","137","19,518","","2.54","192","346.08","15.76","154.03","9.71","4.17","","17.72"
13년03월(1Q),"89,200","2,195","2,048","134","-1,725","274","15,834","","4.73","-12,444","458.39","0.66","77.77","6.56","-224.00","","15.91"
