결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"38,900","173,164","50,473","341","-658","-334","128,228","29.90","0.30","-510","97.95","-3.57","-66.58","0.68","-1.60","","6.30"
19년06월(2Q),"41,800","172,934","55,719","2,326","511","6,454","128,073","27.73","0.33","343","99.00","2.28","-38.07","4.17","1.08","-75.19","9.29"
19년03월(1Q),"44,900","171,400","50,715","2,124","1,140","-4,327","126,963","17.63","0.35","854","98.34","5.96","-27.63","4.19","2.72","-34.06","9.03"
18년12월(4Q),"45,250","170,231","53,125","2,549","791","5,076","126,082","15.15","0.36","614","95.65","4.60","-22.08","4.80","1.96","22.66","7.24"
18년09월(3Q),"56,500","171,154","52,341","1,021","-381","5,389","126,743","19.66","0.45","-303","93.06","8.59","-69.96","1.95","-0.96","","8.00"
18년06월(2Q),"52,600","171,421","54,477","3,756","1,900","5,692","126,960","11.72","0.41","1,382","92.95","16.09","7.03","6.90","4.40","32.22","12.69"
18년03월(1Q),"51,000","170,383","47,861","2,935","1,770","-404","126,223","12.28","0.40","1,295","95.34","4.63","-16.08","6.13","4.14","-48.38","12.08"
17년12월(4Q),"58,600","170,355","50,791","3,271","676","9,483","126,228","10.92","0.46","501","95.91","9.03","-15.64","6.44","1.61","-54.50","11.79"
17년09월(3Q),"52,800","168,122","48,202","3,397","1,797","2,082","124,673","8.85","0.42","1,312","96.23","18.63","-4.64","7.05","4.26","-41.64","12.67"
17년06월(2Q),"62,200","166,626","46,925","3,510","1,385","6,349","123,587","9.01","0.50","1,045","96.07","11.05","-18.79","7.48","3.43","-42.74","12.96"
17년03월(1Q),"58,500","164,449","45,741","3,498","3,418","-716","121,960","7.62","0.48","2,509","97.61","22.18","29.93","7.65","8.29","109.46","13.43"
16년12월(4Q),"57,000","164,848","46,586","3,878","1,533","9,388","122,187","8.95","0.47","1,100","97.40","8.23","7.65","8.32","3.66","-44.73","14.09"
16년09월(3Q),"50,800","162,009","40,634","3,562","3,007","6,033","120,372","7.00","0.42","2,248","96.61","-0.49","7.68","8.77","7.62","1,052.02","14.69"
16년06월(2Q),"45,850","158,643","42,257","4,322","2,546","12,099","117,852","8.80","0.39","1,825","99.86","5.80","-0.26","10.23","6.30","7.05","16.35"
16년03월(1Q),"55,500","156,051","37,438","2,692","1,586","1,646","115,989","11.03","0.48","1,198","103.19","-0.18","-20.79","7.19","4.18","-42.62","13.79"
15년12월(4Q),"49,950","155,200","43,045","3,602","2,686","3,137","115,590","8.52","0.43","1,991","105.78","1.34","-25.87","8.37","7.03","7.15","14.59"
15년09월(3Q),"51,500","152,764","40,834","3,308","261","8,900","113,786","9.09","0.45","195","109.58","1.87","-12.00","8.10","0.72","-82.04","14.41"
15년06월(2Q),"67,700","141,616","39,941","4,333","2,012","9,547","119,320","10.05","0.57","1,705","105.45","-8.81","14.71","10.85","5.74","-44.56","16.44"
