결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"120,500","763,658","278,241","11,644","7,721","-9,008","258,478","11.20","0.47","2,905","154.71","10.28","132.35","4.18","4.60","","16.86"
19년09월(3Q),"134,000","760,252","269,689","3,785","4,605","-4,517","257,204","18.14","0.52","1,542","152.11","10.38","31.01","1.40","2.45","59.94","16.42"
19년06월(2Q),"140,000","756,826","269,664","12,377","9,993","8,373","256,125","20.58","0.55","3,319","149.05","9.12","30.17","4.59","5.34","35.26","17.14"
19년03월(1Q),"119,500","742,079","239,871","8,249","9,538","9,350","251,226","20.02","0.48","2,995","146.15","6.91","21.07","3.44","4.87","28.00","16.31"
18년12월(4Q),"118,500","738,960","252,305","5,011","-2,033","3,089","249,619","22.14","0.47","-469","144.47","2.98","-35.36","1.99","-0.76","","16.07"
18년09월(3Q),"129,500","749,240","244,337","2,889","3,060","8,206","252,762","13.77","0.51","964","139.94","0.96","-76.01","1.18","1.56","-67.72","15.11"
18년06월(2Q),"125,500","749,532","247,118","9,508","8,107","13,345","249,658","11.01","0.50","2,454","139.26","1.66","-29.28","3.85","4.06","-14.23","15.89"
18년03월(1Q),"143,500","744,801","224,366","6,813","7,316","13,002","247,114","12.16","0.58","2,340","135.73","-3.98","-45.53","3.04","3.87","-49.79","15.45"
17년12월(4Q),"156,000","747,574","245,008","7,752","12,879","16,093","247,807","11.04","0.63","3,619","138.37","-0.15","-24.08","3.16","5.98","3.30","17.22"
17년09월(3Q),"150,500","745,984","242,013","12,042","9,392","3,735","247,936","10.74","0.61","2,986","143.29","9.59","12.74","4.98","4.96","-19.70","17.93"
17년06월(2Q),"159,500","736,780","243,080","13,445","9,136","9,812","245,191","10.82","0.65","2,861","142.62","-1.49","-23.69","5.53","4.84","-50.73","19.45"
17년03월(1Q),"157,500","717,746","233,660","12,508","14,057","9,584","239,045","8.90","0.66","4,661","141.37","4.54","-6.83","5.35","7.96","-21.13","18.37"
16년12월(4Q),"146,000","723,446","245,380","10,212","10,688","5,123","241,103","7.71","0.61","3,503","147.20","-0.92","-32.60","4.16","6.09","-38.70","18.47"
16년09월(3Q),"135,500","692,473","220,837","10,681","11,188","2,072","230,803","6.41","0.59","3,718","141.28","-5.74","-28.98","4.84","6.61","-9.61","17.63"
16년06월(2Q),"135,500","691,758","246,767","17,618","17,639","10,921","230,680","6.29","0.59","5,808","145.34","8.13","0.62","7.14","10.45","-2.63","20.36"
16년03월(1Q),"152,500","675,012","223,506","13,424","17,681","-8,147","225,276","7.03","0.68","5,909","144.63","6.72","-15.47","6.01","10.82","-11.62","18.97"
15년12월(4Q),"149,000","668,814","247,648","15,151","15,294","-8,405","222,828","6.63","0.67","5,715","147.26","5.05","-19.23","6.12","10.57","-1.56","19.05"
15년09월(3Q),"164,000","665,753","234,296","15,039","12,060","-3,701","220,979","7.27","0.74","4,113","140.31","10.10","-8.78","6.42","7.72","-22.55","19.48"
15년06월(2Q),"136,000","653,579","228,216","17,509","17,904","9,847","216,467","5.72","0.63","5,964","135.04","0.30","-16.11","7.67","11.52","-24.14","20.34"
15년03월(1Q),"168,500","630,934","209,428","15,880","19,833","14,743","208,963","6.57","0.81","6,687","133.99","-3.26","-18.07","7.58","13.20","-1.03","20.68"
14년12월(4Q),"169,000","626,206","235,742","18,757","16,564","-25,679","206,420","6.57","0.82","5,805","135.11","7.46","-7.62","7.96","11.61","-19.38","21.17"
14년09월(3Q),"190,500","615,048","212,804","16,487","16,151","7,459","201,935","7.02","0.94","5,311","129.78","2.21","-17.98","7.75","10.89","-29.15","21.24"
14년06월(2Q),"229,500","597,097","227,526","20,872","23,499","14,548","196,000","7.83","1.17","7,863","131.57","-1.86","-13.27","9.17","16.62","-6.51","21.28"
14년03월(1Q),"251,000","579,377","216,490","19,384","20,281","24,881","190,327","8.41","1.32","6,756","136.95","1.32","3.74","8.95","14.68","-0.85","22.07"
13년12월(4Q),"236,500","565,828","219,377","20,304","21,298","-30,319","185,863","7.90","1.27","7,201","135.80","-3.44","10.78","9.26","16.16","14.76","21.98"
13년09월(3Q),"251,000","539,206","208,194","20,101","22,524","-7,037","178,496","8.66","1.41","7,496","139.66","5.97","1.66","9.66","17.44","5.60","22.12"
13년06월(2Q),"225,500","522,993","231,834","24,065","25,235","36,117","173,192","7.89","1.30","8,410","148.00","5.67","-5.19","10.38","20.43","-1.88","22.94"
13년03월(1Q),"224,000","497,064","213,671","18,685","20,878","13,323","163,978","7.79","1.37","6,814","151.58","5.96","-10.70","8.74","17.34","-15.49","22.02"
12년12월(4Q),"218,500","479,176","227,190","18,328","18,937","4,770","158,218","7.28","1.38","6,275","153.64","10.72","-13.17","8.07","16.44","-8.14","22.04"
12년09월(3Q),"252,000","469,629","196,456","19,772","21,668","15,577","155,003","8.25","1.63","7,098","153.56","3.65","-5.65","10.06","19.23","11.71","22.63"
12년06월(2Q),"232,500","449,018","219,402","25,381","25,480","17,120","148,239","7.80","1.57","8,572","159.89","9.20","20.87","11.57","24.41","14.33","24.65"
12년03월(1Q),"233,000","424,373","201,649","20,925","24,527","15,930","140,570","8.11","1.66","8,063","168.73","10.59","21.48","10.38","24.19","31.41","23.01"
11년12월(4Q),"213,000","403,277","205,190","21,108","20,025","8,908","133,957","7.94","1.59","6,831","171.48","10.68","59.39","10.29","21.50","35.62","24.06"
11년09월(3Q),"211,000","385,762","189,540","20,956","19,183","239","128,011","8.43","1.65","6,354","176.94","14.50","24.60","11.06","21.00","29.15","25.84"
11년06월(2Q),"237,000","366,953","200,916","20,999","23,073","22,530","121,121","10.05","1.96","7,497","179.20","19.09","24.53","10.45","26.23","36.10","24.42"
11년03월(1Q),"203,000","345,061","182,334","17,226","18,768","9,645","113,935","9.40","1.78","6,135","183.45","21.38","44.50","9.45","22.71","52.04","22.80"
10년12월(4Q),"173,500","328,880","185,397","13,243","14,507","8,373","108,646","8.90","1.60","5,037","187.99","","","7.14","","","22.10"
10년09월(3Q),"153,000","","165,534","16,819","15,889","-1,905","","","","4,920","","","","10.16","","","24.86"
10년06월(2Q),"144,500","","168,707","16,862","16,803","24,425","","","","5,509","","","","9.99","","","24.59"
10년03월(1Q),"115,500","","150,214","11,921","12,813","12,869","","","","4,035","","","","7.94","","","22.35"
09년12월(4Q),"121,000","220,290","96,490","8,372","9,455","23,415","79,771","11.66","1.52","3,312","60.91","9.27","44.08","8.68","17.50","287.87","22.12"
09년09월(3Q),"111,500","211,841","80,984","5,868","9,792","11,710","76,722","14.08","1.45","3,430","61.72","33.76","461.54","7.25","18.78","269.29","21.46"
09년06월(2Q),"74,100","205,184","80,799","6,573","8,119","21,527","74,399","13.68","1.00","2,844","61.24","-11.28","-0.80","8.13","16.07","48.23","21.75"
09년03월(1Q),"55,500","198,953","60,320","1,538","2,250","1,792","72,214","12.36","0.77","788","63.43","-26.42","-70.94","2.55","4.55","-42.78","22.30"
08년12월(4Q),"39,500","196,523","88,306","5,810","2,435","5,686","71,361","7.78","0.55","854","63.68","1.07","-8.90","6.58","4.97","-28.05","24.58"
08년09월(3Q),"73,500","195,410","60,546","1,045","2,648","-1,872","71,083","13.58","1.03","929","56.93","-14.53","-70.66","1.73","5.46","-37.86","19.22"
08년06월(2Q),"71,000","192,686","91,068","6,625","5,469","6,512","70,129","11.88","1.01","1,919","64.57","12.75","6.38","7.28","11.58","-10.69","22.50"
08년03월(1Q),"78,900","185,016","81,978","5,291","3,927","9,073","67,439","12.71","1.17","1,377","66.23","21.97","60.98","6.45","8.56","27.56","21.33"
07년12월(4Q),"71,600","182,026","87,375","6,378","3,380","8,408","66,390","12.12","1.08","1,187","62.54","15.21","107.99","7.30","7.52","-30.66","20.73"
07년09월(3Q),"73,900","177,651","70,839","3,562","4,255","2,141","64,887","11.49","1.14","1,495","59.86","20.33","94.29","5.03","9.74","44.62","18.46"
07년06월(2Q),"73,000","171,952","80,769","6,228","6,115","13,045","62,912","12.22","1.16","2,148","65.40","15.34","52.23","7.71","14.64","51.47","20.13"
07년03월(1Q),"66,100","162,301","67,213","3,287","3,074","-530","59,529","12.61","1.11","1,080","63.39","-2.04","-1.98","4.89","7.62","-10.35","18.38"
06년12월(4Q),"67,400","160,508","75,841","3,067","4,868","13,557","58,901","12.56","1.14","1,712","64.66","-6.57","-8.60","4.04","12.36","-29.65","16.93"
06년09월(3Q),"81,000","154,443","58,869","1,833","2,938","-1,697","56,862","13.30","1.42","1,033","62.87","-4.27","-31.62","3.11","7.69","-45.16","16.95"
06년06월(2Q),"80,600","151,362","70,028","4,091","4,031","1,712","55,779","11.62","1.44","1,418","69.09","0.81","-10.64","5.84","10.77","-34.35","19.20"
06년03월(1Q),"81,700","147,982","68,615","3,353","3,424","-978","54,591","10.64","1.50","1,204","78.76","11.20","3.91","4.89","9.18","-32.94","18.95"
05년12월(4Q),"97,300","150,530","81,173","3,355","6,909","17,501","55,544","11.76","1.75","2,433","77.12","7.63","-2.42","4.13","18.83","79.34","18.32"
05년09월(3Q),"81,500","142,974","61,497","2,681","5,349","1,961","52,946","11.32","1.54","1,885","71.62","-5.97","-42.20","4.36","15.28","26.87","18.61"
05년06월(2Q),"57,500","137,018","69,465","4,579","6,132","6,682","50,814","8.46","1.13","2,160","76.10","-3.30","-35.73","6.59","18.17","24.05","20.14"
05년03월(1Q),"55,000","132,944","61,702","3,227","5,098","-1,017","48,818","8.62","1.13","1,796","81.96","-0.60","-30.06","5.23","15.46","14.79","18.92"
