결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"26,400","48,257","33,612","1,152","801","5,740","54,399","9.35","0.49","896","870.07","4.25","-21.68","2.68","6.81","-22.16","65.58"
19년06월(2Q),"28,450","45,947","33,886","1,292","869","4,190","51,814","9.24","0.55","972","894.24","3.96","-42.71","3.00","7.82","-44.00","64.64"
19년03월(1Q),"37,900","42,906","32,486","1,220","777","950","48,413","9.86","0.78","869","942.61","1.39","-17.15","3.02","7.38","-27.86","68.61"
18년12월(4Q),"41,050","41,314","33,065","137","77","5,459","46,631","9.83","0.88","86","967.26","2.75","-84.38","0.35","0.78","-87.71","71.30"
18년09월(3Q),"41,950","37,753","32,240","1,471","1,030","5,849","42,648","8.75","0.98","1,152","1,025.91","-1.90","-3.52","3.81","12.07","-6.51","69.14"
18년06월(2Q),"33,700","30,512","32,594","2,255","1,552","4,685","34,549","6.91","0.98","1,736","1,250.19","0.80","-2.03","5.44","20.98","-11.34","65.43"
18년03월(1Q),"38,900","28,676","32,042","1,473","1,077","2,990","32,496","7.63","1.20","1,204","1,316.15","2.55","-8.27","3.81","14.42","-7.51","72.97"
17년12월(4Q),"47,000","31,037","32,178","877","628","6,433","35,137","9.05","1.34","703","1,204.64","0.30","8.96","2.34","8.14","15.22","69.28"
17년09월(3Q),"45,300","30,759","32,865","1,524","1,101","9,151","34,825","8.88","1.30","1,232","1,186.80","4.54","-14.03","3.80","14.30","-25.76","64.08"
17년06월(2Q),"39,350","30,834","32,336","2,301","1,750","1,761","34,910","7.12","1.13","1,958","1,157.45","0.35","46.09","5.77","23.82","52.93","64.68"
17년03월(1Q),"35,000","27,963","31,245","1,606","1,164","-10","31,698","7.21","1.10","1,302","1,231.54","1.83","24.93","3.88","16.50","25.83","64.22"
16년12월(4Q),"31,500","28,482","32,083","805","545","4,011","32,278","6.87","0.98","610","1,201.10","0.64","","2.19","6.70","","66.71"
16년09월(3Q),"36,250","36,631","31,439","1,773","1,483","6,454","41,394","10.12","0.88","1,659","893.37","3.86","56.77","4.42","16.56","86.81","61.44"
16년06월(2Q),"29,250","35,043","32,224","1,575","1,145","4,738","39,618","10.40","0.74","1,280","915.21","1.34","12.83","4.01","14.73","13.37","64.46"
16년03월(1Q),"33,200","27,137","30,685","1,285","925","6,196","30,774","12.48","1.08","1,035","1,143.95","-0.39","34.27","3.45","14.19","38.18","64.59"
15년12월(4Q),"36,050","25,027","31,879","-175","-350","9,980","28,414","15.18","1.27","-392","1,209.84","4.98","","-0.49","-5.51","","68.35"
15년09월(3Q),"30,250","25,830","30,270","1,131","794","3,768","29,312","8.84","1.03","888","1,115.44","3.96","41.95","2.86","12.59","50.67","53.10"
15년06월(2Q),"29,500","24,627","31,798","1,396","1,010","-542","27,966","9.45","1.05","1,129","1,120.96","7.90","46.76","3.62","16.27","51.94","59.86"
15년03월(1Q),"24,800","25,027","30,803","957","669","1,772","28,219","9.06","0.88","749","1,071.21","8.85","-4.70","2.39","10.99","16.80","66.44"
14년12월(4Q),"26,000","23,723","30,365","549","584","6,144","26,760","9.89","0.97","654","1,106.01","5.88","-30.04","1.62","10.00","18.58","65.66"
14년09월(3Q),"29,100","23,082","29,118","797","527","7,455","25,819","11.52","1.13","590","1,076.14","8.34","-22.39","2.23","9.36","-26.67","62.95"
14년06월(2Q),"28,850","22,017","29,471","951","661","4,504","24,800","10.72","1.16","743","1,093.75","6.96","-3.37","2.62","12.45","-1.71","54.96"
14년03월(1Q),"30,700","20,844","28,298","1,004","577","1,240","23,422","10.32","1.31","641","1,112.02","1.19","-18.74","2.88","11.16","-37.50","61.36"
13년12월(4Q),"32,500","20,527","28,679","785","501","7,155","22,975","9.75","1.41","552","1,095.28","7.53","-36.45","2.05","9.75","-44.85","40.97"
13년09월(2Q),"29,250","20,329","27,554","985","683","4,550","22,761","8.16","1.29","756","1,019.33","5.07","-19.38","2.97","13.71","-25.32","58.08"
13년06월(1Q),"30,300","19,477","27,965","1,236","922","7,131","21,815","7.88","1.39","1,026","1,027.83","6.41","-20.82","3.72","18.03","-22.48","61.63"
13년03월(4Q),"31,750","21,560","26,671","1,236","898","107","24,152","7.67","1.31","1,000","895.23","-4.49","15.29","3.95","17.08","10.58","68.54"
12년12월(3Q),"33,300","20,678","26,877","1,027","725","5,597","23,169","8.23","1.44","804","904.37","9.75","-21.93","3.18","14.04","-18.73","62.75"
12년09월(2Q),"34,600","20,595","26,224","1,221","910","5,959","23,083","8.18","1.50","1,013","873.34","16.07","-6.88","3.88","18.85","-7.74","58.07"
12년06월(1Q),"29,600","18,142","26,280","1,561","1,188","9,679","20,349","6.86","1.45","1,323","953.75","19.32","-13.02","5.04","26.54","-14.09","59.04"
12년03월(4Q),"32,600","17,812","27,925","1,072","815","9,316","19,985","7.19","1.63","905","915.94","35.62","5.00","3.34","18.79","9.66","56.83"
11년12월(3Q),"34,500","16,902","24,489","1,315","889","6,020","18,973","7.75","1.82","989","895.45","16.59","154.85","4.51","21.86","148.66","58.60"
11년09월(2Q),"29,350","15,740","22,594","1,312","986","3,761","17,678","7.60","1.66","1,098","894.07","16.51","78.23","4.66","25.68","76.93","54.67"
11년06월(1Q),"31,800","15,092","22,024","1,795","1,386","10,604","16,959","9.40","1.88","1,540","880.06","15.95","98.24","6.84","37.91","95.38","62.87"
11년03월(4Q),"30,600","14,293","20,591","1,021","742","1,331","15,996","11.63","1.91","825","886.78","","","4.18","","","63.42"
10년12월(3Q),"26,150","","21,005","516","374","3,023","","","","398","","","","1.99","","","60.27"
10년09월(2Q),"22,200","","19,392","736","566","1,547","","","","620","","","","3.21","","","63.42"
10년06월(1Q),"24,500","","18,994","905","710","3,558","","","","788","","","","3.97","","","65.03"
10년03월(4Q),"18,300","10,659","16,628","913","601","1,051","12,147","8.87","1.51","672","940.76","18.03","","4.68","23.81","","66.41"
09년12월(3Q),"18,700","9,543","16,653","874","579","1,616","10,899","15.32","1.72","648","1,013.23","18.23","386.78","4.26","24.89","321.45","62.64"
09년09월(2Q),"21,750","9,063","15,936","217","228","-1,612","10,362","29.94","2.10","255","1,007.04","19.53","-55.06","1.15","10.28","-41.70","69.23"
09년06월(1Q),"15,900","8,692","15,288","520","436","-486","9,992","17.49","1.59","488","1,021.73","13.06","-49.59","2.87","20.47","-43.71","71.71"
09년03월(4Q),"12,500","8,352","14,087","-108","-152","-1,612","9,603","9.71","1.30","-170","1,035.89","6.16","","-0.64","-8.17","","77.78"
08년12월(3Q),"14,100","6,547","14,085","180","137","1,197","7,583","7.62","1.86","154","1,303.93","10.42","-76.63","1.00","8.35","-74.26","70.90"
08년09월(2Q),"18,700","6,618","13,333","483","391","56","7,678","8.15","2.44","438","1,248.72","12.98","-12.19","3.05","23.85","-4.55","71.54"
08년06월(1Q),"22,800","6,504","13,522","1,031","775","1,215","7,562","9.85","3.01","867","1,239.61","12.80","55.74","6.47","47.39","84.60","71.33"
08년03월(4Q),"20,900","6,572","13,270","578","352","393","7,639","10.90","2.74","393","1,192.12","19.27","14.55","3.66","21.79","10.43","68.03"
