결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"57,900","18,730","8,670","1,249","985","1,261","21,228","16.19","2.73","1,318","110.86","19.44","68.96","14.40","26.23","99.35","48.14"
19년06월(2Q),"76,700","17,161","9,593","1,449","920","2,306","19,074","26.27","4.02","1,120","118.21","21.40","25.26","15.10","24.49","4.16","52.12"
19년03월(1Q),"78,000","16,062","8,346","1,158","962","-1,362","17,521","27.13","4.45","1,150","128.08","23.29","36.40","13.88","27.26","84.39","50.05"
18년12월(4Q),"53,500","15,065","7,617","826","39","532","16,226","22.78","3.30","-12","119.34","23.95","60.54","10.84","-0.29","","48.23"
18년09월(3Q),"44,900","14,878","7,259","739","453","955","16,054","17.84","2.80","661","117.10","27.51","107.79","10.18","16.70","176.85","48.75"
18년06월(2Q),"33,650","14,591","7,902","1,157","811","1,864","15,620","16.06","2.15","1,076","131.29","14.04","41.80","14.64","29.23","125.13","51.17"
18년03월(1Q),"108,500","13,014","6,769","849","797","-605","13,824","14.50","1.57","624","148.02","3.55","73.75","12.55","18.55","307.60","50.52"
17년12월(4Q),"81,600","12,343","6,145","515","151","-69","13,074","15.85","1.25","157","149.44","48.37","","8.37","4.60","-97.58","49.48"
17년09월(3Q),"68,500","13,308","5,693","356","207","1,158","14,195","1.93","0.97","239","140.82","224.30","471.30","6.25","6.83","","48.71"
17년06월(2Q),"85,500","12,944","6,929","816","468","1,663","13,761","2.96","1.24","478","151.77","231.15","228.80","11.77","14.48","75.16","50.75"
17년03월(1Q),"70,100","12,110","6,537","489","255","-2,452","12,629","2.48","1.11","153","168.58","288.64","675.25","7.48","4.43","10.86","47.05"
16년12월(4Q),"70,500","13,022","4,142","-255","3,573","-425","15,035","2.48","0.94","6,477","159.95","103.52","","-6.16","240.71","","41.75"
16년09월(3Q),"95,400","3,693","1,755","62","-695","248","6,490","","2.94","-1,217","136.56","-10.62","-67.50","3.55","-63.96","","42.63"
16년06월(2Q),"90,900","4,972","2,092","248","160","215","8,731","","2.08","273","106.42","4.25","-1.57","11.86","12.75","","47.44"
16년03월(1Q),"95,200","4,750","1,682","63","73","-73","8,424","","2.26","138","106.62","-21.83","-77.20","3.75","6.53","","42.80"
15년12월(4Q),"94,400","4,791","2,035","85","-511","-272","8,488","","2.22","-870","104.33","-4.66","-41.13","4.20","-39.56","","43.37"
15년09월(3Q),"99,500","5,053","1,964","192","-199","199","9,088","","2.19","-361","100.44","3.72","-8.18","9.76","-15.83","","43.90"
15년06월(2Q),"111,000","5,087","2,007","252","-317","296","9,152","","2.43","-573","88.50","2.70","-11.78","12.56","-24.38","","48.77"
15년03월(1Q),"108,000","5,377","2,152","277","-306","51","9,685","340.59","2.23","-592","102.36","7.98","-6.57","12.85","-22.91","","44.87"
14년12월(4Q),"111,500","5,684","2,134","145","-141","191","10,980","20.58","2.03","-279","83.57","2.23","-39.76","6.80","-10.15","","44.57"
14년09월(3Q),"118,000","5,695","1,893","209","214","92","11,025","9.70","2.14","402","83.82","5.58","-8.72","11.02","15.03","","45.27"
14년06월(2Q),"96,100","5,329","1,954","286","295","359","10,362","10.23","1.85","559","85.97","10.13","-3.06","14.62","21.50","-26.15","51.40"
14년03월(1Q),"88,100","5,207","1,993","296","208","-252","10,361","8.50","1.70","412","97.52","16.83","36.39","14.86","16.03","45.42","48.02"
13년12월(4Q),"79,000","4,920","2,088","241","533","118","10,098","8.12","1.56","1,074","97.43","14.83","0.68","11.54","45.57","675.37","49.44"
13년09월(3Q),"70,000","4,262","1,793","229","-85","238","8,762","13.86","1.60","-168","112.32","24.06","42.36","12.75","-7.36","","46.17"
13년06월(2Q),"68,900","4,634","1,774","295","375","365","9,500","7.46","1.45","757","99.04","3.00","10.87","16.61","33.22","-5.90","55.09"
13년03월(1Q),"66,100","4,254","1,706","217","139","-64","8,718","7.00","1.52","283","120.89","-0.71","-12.73","12.73","13.39","-68.64","49.92"
12년12월(4Q),"64,000","3,993","1,818","239","71","184","8,201","5.13","1.56","139","115.87","-10.47","-23.85","13.16","6.63","","50.82"
12년09월(3Q),"72,600","4,130","1,446","161","337","243","8,518","8.33","1.70","668","118.82","-21.84","-32.43","11.11","31.88","","49.08"
12년06월(2Q),"77,500","4,000","1,723","266","392","347","8,251","16.43","1.88","804","124.11","-11.64","-22.76","15.43","40.97","41.30","55.78"
12년03월(1Q),"85,800","3,432","1,718","249","423","71","7,490","25.51","2.29","903","162.73","-5.30","26.81","14.48","51.55","197.73","51.66"
11년12월(4Q),"77,700","2,986","2,031","314","-316","665","6,522","327.62","2.38","-655","181.12","12.77","27.62","15.48","-36.24","","50.48"
11년09월(3Q),"72,000","3,631","1,850","238","-64","55","8,251","10.07","1.75","-142","158.35","26.45","0.12","12.85","-7.20","","48.87"
11년06월(2Q),"89,000","3,313","1,950","344","255","-283","7,560","9.83","2.35","569","136.20","20.84","-4.57","17.65","31.28","-42.29","54.48"
11년03월(1Q),"75,900","3,090","1,814","196","132","9","6,995","7.07","2.17","303","159.22","41.89","46.41","10.81","17.38","2.41","47.81"
10년12월(4Q),"78,200","3,161","1,801","246","315","-196","6,964","6.99","2.25","706","115.31","21.36","2.81","13.68","41.94","78.20","54.09"
10년09월(3Q),"68,400","2,852","1,463","237","79","234","6,425","7.20","2.13","201","131.32","26.71","5.83","16.22","12.09","-49.22","51.73"
